dataset,method,run_tag,example_idx,problem_ordinal,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,prm_input_tokens,prm_output_rewards,target_input_tokens,target_output_tokens,draft_calls,prm_calls,target_calls
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,0,0,1,draft|draft_verify,167.72818565368652,30127.25782394409,0.0,121,21,88,1,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,0,0,2,draft|draft_verify,369.4272041320801,60.34350395202637,0.0,142,70,160,2,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,0,0,3,draft|draft_verify,44.045448303222656,59.51046943664551,0.0,212,8,170,3,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,0,0,4,draft|draft_verify,573.3156204223633,92.22912788391113,0.0,220,113,285,4,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,0,0,5,draft|draft_verify,270.9777355194092,106.8260669708252,0.0,333,55,342,5,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,0,0,6,draft|draft_verify,86.53545379638672,98.75798225402832,0.0,388,15,359,6,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,1,1,1,draft|draft_verify,146.41690254211426,23.213624954223633,0.0,82,27,55,1,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,1,1,2,draft|draft_verify,180.8912754058838,34.456491470336914,0.0,109,35,92,2,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,1,1,3,draft|draft_verify,276.40485763549805,53.04265022277832,0.0,144,53,147,3,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,1,1,4,draft|draft_verify,200.64306259155273,64.06903266906738,0.0,197,38,187,4,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,1,1,5,draft|draft_verify,89.0195369720459,73.08220863342285,0.0,235,16,205,5,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,1,draft|draft_verify,74.89490509033203,39.24250602722168,0.0,113,14,73,1,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,2,draft|draft_verify,125.98848342895508,39.35837745666504,0.0,127,26,101,2,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,3,draft|draft_verify|target|target_rescue_verify,516.8595314025879,104.24518585205078,325.55150985717773,153,113,342,6,153,23,1,2,1
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,4,draft|draft_verify,122.73621559143066,58.00938606262207,0.0,176,29,157,4,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,5,draft|draft_verify,166.21065139770508,71.14458084106445,0.0,205,39,198,5,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,6,draft|draft_verify|target|backtracking_verify,131.29782676696777,137.43185997009277,221.97937965393066,244,28,457,12,244,29,1,2,1
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,7,draft|draft_verify|target|backtracking_verify,263.5223865509033,264.8615837097168,200.76441764831543,545,58,778,21,272,29,2,3,1
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,8,draft|draft_verify|target|target_rescue_verify,558.3209991455078,430.44185638427734,594.3641662597656,904,117,1500,40,602,77,3,5,2
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,9,draft|draft_verify,114.47954177856445,99.23243522644043,0.0,342,25,329,9,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,10,draft|draft_verify,124.77970123291016,96.20785713195801,0.0,367,28,359,10,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,11,draft|draft_verify,172.18303680419922,126.43003463745117,0.0,395,41,402,11,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,12,draft|draft_verify,114.14909362792969,125.88810920715332,0.0,436,25,429,12,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,13,draft|draft_verify,109.19427871704102,126.35087966918945,0.0,461,27,458,13,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,14,draft|draft_verify,162.3530387878418,137.64142990112305,0.0,488,39,499,14,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,2,2,15,draft|draft_verify,98.56104850769043,128.36241722106934,0.0,527,20,521,15,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,3,3,1,draft|draft_verify,85.45255661010742,22.526979446411133,0.0,91,20,57,1,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,3,3,2,draft|draft_verify,164.28279876708984,30.559062957763672,0.0,111,40,99,2,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,3,3,3,draft|draft_verify,292.51670837402344,60.58311462402344,0.0,151,65,166,3,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,3,3,4,draft|draft_verify,298.25639724731445,80.11603355407715,0.0,216,69,237,4,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,3,3,5,draft|draft_verify,124.11642074584961,78.97639274597168,0.0,285,22,261,5,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,4,4,1,draft|draft_verify,132.8299045562744,65.12689590454102,0.0,167,25,138,1,0,0,1,1,0
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,4,4,2,draft|draft_verify|target|target_rescue_verify,352.231502532959,136.23809814453125,468.54162216186523,192,80,430,4,192,70,1,2,1
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,4,4,3,draft|draft_verify|target|backtracking_verify,42.920827865600586,134.09948348999023,106.55570030212402,262,10,442,6,262,8,1,2,1
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,4,4,4,draft|draft_verify|target|target_rescue_verify,768.1636810302734,329.94961738586426,801.3298511505127,542,136,1147,16,542,119,2,4,2
gsm8k,bbeam1,step-profile-config2-bbeam1-gsm8k-exclusive0817,4,4,5,draft|draft_verify|target|backtracking_verify,280.76934814453125,408.0545902252197,1236.2234592437744,661,60,1367,20,661,169,2,4,2
