dataset,method,run_tag,example_idx,problem_ordinal,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,prm_input_tokens,prm_output_rewards,target_input_tokens,target_output_tokens,draft_calls,prm_calls,target_calls
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,0,0,1,draft|draft_verify,188.13014030456543,5837.750434875488,0.0,103,35,85,1,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,0,0,2,draft|draft_verify,556.363582611084,68.64380836486816,0.0,138,113,200,2,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,0,0,3,draft|draft_verify|target|target_rescue_verify,757.737398147583,197.43680953979492,767.6799297332764,251,152,674,6,251,118,1,2,1
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,0,0,4,draft|draft_verify,167.9394245147705,100.11887550354004,0.0,369,33,355,4,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,1,1,1,draft|draft_verify,301.29027366638184,53.16925048828125,0.0,166,60,173,1,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,1,1,2,draft|draft_verify|target|target_rescue_verify,491.687536239624,143.91160011291504,466.08567237854004,226,89,507,4,226,68,1,2,1
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,1,1,3,draft|draft_verify|target|backtracking_verify,199.6164321899414,218.62435340881348,1019.860029220581,294,42,697,6,294,165,1,2,1
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,1,1,4,draft|draft_verify|target|target_rescue_verify,394.0460681915283,242.1283721923828,747.4825382232666,336,84,781,8,336,119,1,2,1
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,1,1,5,draft|draft_verify,59.67974662780762,126.38735771179199,0.0,455,12,422,5,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,1,1,6,draft|draft_verify,453.7489414215088,130.63597679138184,0.0,467,96,520,6,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,1,1,7,draft|draft_verify,244.7068691253662,129.13775444030762,0.0,563,50,572,7,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,1,1,8,draft|draft_verify,366.90378189086914,152.21190452575684,0.0,613,73,647,8,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,1,1,9,draft|draft_verify,166.47744178771973,161.76199913024902,0.0,686,31,680,9,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,2,2,1,draft|draft_verify,380.9342384338379,47.01662063598633,0.0,103,82,131,1,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,2,2,2,draft|draft_verify,282.47523307800293,63.793182373046875,0.0,185,63,196,2,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,2,2,3,draft|draft_verify,331.78114891052246,79.60200309753418,0.0,248,67,265,3,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,2,2,4,draft|draft_verify,253.32236289978027,79.14543151855469,0.0,315,50,317,4,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,2,2,5,draft|draft_verify,218.75953674316406,105.11469841003418,0.0,365,40,359,5,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,2,2,6,draft|draft_verify,436.82336807250977,145.12085914611816,0.0,405,86,447,6,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,2,2,7,draft|draft_verify,280.6868553161621,139.86706733703613,0.0,491,57,506,7,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,2,2,8,draft|draft_verify,216.89271926879883,131.42776489257812,0.0,548,36,544,8,0,0,1,1,0
math500,bbeam1,step-profile-config2-bbeam1-math500-exclusive0817,3,3,1,draft|draft_verify,180.04083633422852,24.988412857055664,0.0,70,38,54,1,0,0,1,1,0
