problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
0,0,8,24274.89563957711,32394.977168068875,24047.63948152809,15238.478728896649,22644.005352465745,19241.070767998695,1.3345053115389305,0.990638223067023,1.485975454329705,1.2626634922232725
1,1,7,4821.3594145396,5652.592176604468,4320.0753841685055,2914.3218480417727,3951.0887946529224,3431.3530879921436,1.1724063050678506,0.8960284875549019,1.3557489531596474,1.177410480691342
2,2,9,9639.38463639065,12174.051377871214,9029.226263218652,6167.445209530408,8509.56785081998,7291.447777748108,1.2629490197861466,0.9367015223286634,1.379755727326178,1.1822476779332884
3,3,15,11716.570936974633,13160.511101853857,9115.735551098694,6821.044019797067,9199.040515706241,7491.56639984864,1.1232391433164546,0.7780207707642227,1.3486264696441472,1.0983020162464106
4,4,9,22620.974967374834,27187.139687370996,21172.24896230481,13737.668194516562,19003.716523201932,15668.974654388883,1.2018553456065324,0.935956517914924,1.3833291250102642,1.1405847362540906
5,5,25,27446.3214507792,25700.279864447246,19084.67181272666,15123.665049706962,17964.23428587903,15098.233197810161,0.9363834024365264,0.6953453433441751,1.1878228079526996,0.9983184068271008
6,6,6,18219.730803014445,19216.092559188575,14064.829472262732,10737.96449747418,13431.985895591215,10064.720156513822,1.0546858659409657,0.771955942945969,1.2508875307560134,0.937302424391632
7,7,16,12604.434686337378,13990.31942594038,9254.601496530859,7456.098514464722,9779.066064593126,7801.056348055285,1.1099521536737573,0.7342337619125765,1.31155269013974,1.0462651925697266
8,8,4,4669.650395679785,5627.541231306909,4501.147235120703,2934.3751003917423,3933.6095165571296,3535.6701049804688,1.2051311671026455,0.9639152514040503,1.3405271589279737,1.2049141585574568
9,9,6,16776.372550073043,20043.769341878444,16076.747450368017,10083.65477176274,14010.532006502632,11759.476176738739,1.1947618164804747,0.9582969978988706,1.389429956064772,1.1661918662337392
10,10,8,7160.110279391723,6539.097691694239,5366.603587417847,3774.481030831567,4570.745669471873,4099.419236898422,0.9132677342296128,0.7495140965725124,1.2109600318920875,1.0860881809744498
11,11,11,13818.31408689768,16242.584530651513,12758.650684878321,8625.68746751991,11353.451621367005,10021.364092385415,1.1754389449037412,0.9233145667875565,1.3162373044604863,1.1618046828291582
