problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
0,0,6,31646.517691574656,32057.314847868674,31405.447047516427,16736.9715889114,20805.13465701236,20524.898824856755,1.0129808012463686,0.9923823958639718,1.243064466381493,1.226320945567891
1,1,5,1094.1687239755372,1141.539778296924,966.5178565805176,458.7859715792237,740.8070925899034,679.4216718673706,1.0432941038099401,0.8833352986628837,1.6147117359319256,1.4809120460433418
2,2,15,5300.863274114637,6183.939214747851,3969.1391452498538,2754.283722074655,3946.0868891435957,3094.0827446805783,1.1665909673515789,0.7487722169013667,1.4327089317331545,1.123371103667552
3,3,5,1385.7761669560791,1237.686637872632,1043.6612920903565,569.8532943056031,803.2063979121382,734.5508153438568,0.8931360398492546,0.753124001535404,1.40949680547322,1.2890174062061825
4,4,7,7751.056191810321,9114.751434203783,6682.011752395282,4027.484834763905,5686.67163604645,4510.989326775074,1.1759366992893596,0.8620775784667154,1.4119659959886126,1.120051225975507
5,5,7,1869.8761809780517,2276.4333407100344,1608.423411568872,903.4832209848388,1456.3429547953347,1217.7616364955902,1.2174246422665966,0.8601764266164271,1.6119203112680422,1.3478519669332356
6,6,6,1481.8465907759032,1635.57427514729,1323.95236856521,626.5472889915161,1061.4250324153911,937.9574201107025,1.1037406202020508,0.8934476597013873,1.694086066709904,1.4970257418564987
7,7,5,5489.940054137384,6635.0130696754395,4402.86268370968,2851.674200366118,4137.350924167917,2943.0494220256805,1.208576597238998,0.8019873878935253,1.4508497933027322,1.0320426581857882
8,8,7,12549.221729088778,12481.975376227807,9536.512780835907,6579.755478475369,7808.763023137225,6562.765461119015,0.994641392564999,0.759928622404568,1.1867862033296466,0.9974178345362628
9,9,5,1790.8201527,1589.4454051632324,1344.2539099123535,732.348797987091,1031.497829392538,942.707040536311,0.8875516632794437,0.7506359071767404,1.4084788999827378,1.2872377794944205
10,10,6,1980.4551719906008,1653.2144441778564,1364.0806020137939,805.989775363617,1072.8734925114288,961.9343903064728,0.8347648901924767,0.6887712589034395,1.3311254376985229,1.1934821255921049
11,11,6,2733.942868249646,3072.8948667572267,2160.3244913529784,1282.2028136377166,1967.8201653550072,1652.6248252391815,1.1239791812930562,0.7901864067613397,1.5347183334999375,1.2888950232066225
12,12,7,2288.6925258981687,2093.794527519336,1692.3009527635008,958.975926652588,1358.7995204752492,1205.912280793946,0.9148430834752049,0.7394182196227422,1.4169276649292855,1.2575000552968172
13,13,6,3625.1470714540533,3738.95209498999,2813.9293197359134,1729.5727362149748,2398.5994054596003,2160.4825407229755,1.0313932155834686,0.7762248715076934,1.3868161513165005,1.2491423433575917
14,14,8,2700.170633936511,2669.2267850050293,1919.6910949789185,1236.7283186663178,1717.9330449332056,1454.105568188907,0.9885400394543328,0.7109517712887089,1.3890949362151073,1.1757679890091042
15,15,14,5255.190811446679,6541.072383130493,4209.723873682763,2838.6306209180784,4157.771762110123,3248.823541306633,1.2446878938977726,0.8010601374384513,1.464710389393814,1.1445038031245816
16,16,5,2159.928352359656,2893.6207852553225,1820.4601357458862,1199.1317179666444,1822.229068324037,1482.324742436409,1.3396836900141293,0.8428335753623906,1.5196237752879829,1.2361650686298018
