problem_ordinal,example_idx,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,fpga_draft_ms,our,weak,strong
0,0,1,draft|draft_verify,188.13014030456543,5837.750434875488,0.0,103.0,35.0,210.7328,188.13014030456543,6025.940603180054,188.13014030456543
0,0,2,draft|draft_verify,556.363582611084,68.64380836486816,0.0,138.0,113.0,700.9016,5837.810462875488,625.0674813759522,5837.810462875488
0,0,3,draft|draft_verify|target|target_rescue_verify,757.737398147583,197.43680953979492,767.6799297332764,251.0,152.0,990.9848,1089.7633263698974,1722.9142590206543,856.5159245174805
0,0,4,draft|draft_verify,167.9394245147705,100.11887550354004,0.0,369.0,33.0,219.02640000000002,319.2053019035401,268.1183264183105,268.1183264183105
1,1,1,draft|draft_verify,301.29027366638184,53.16925048828125,0.0,166.0,60.0,372.15360000000004,301.29027366638184,354.5195721546631,301.29027366638184
1,1,2,draft|draft_verify|target|target_rescue_verify,491.687536239624,143.91160011291504,466.08567237854004,226.0,89.0,567.9896,640.0054712564576,1101.7448799310791,563.7034074960816
1,1,3,draft|draft_verify|target|backtracking_verify,199.6164321899414,218.62435340881348,1019.860029220581,294.0,42.0,272.076,1019.860029220581,1438.160848419336,1019.860029220581
1,1,4,draft|draft_verify|target|target_rescue_verify,394.0460681915283,242.1283721923828,747.4825382232666,336.0,84.0,557.4576,747.4825382232666,1383.7170458071778,747.4825382232666
1,1,5,draft|draft_verify,59.67974662780762,126.38735771179199,0.0,455.0,12.0,81.0504,121.0641860961914,186.1271139395996,121.0641860961914
1,1,6,draft|draft_verify,453.7489414215088,130.63597679138184,0.0,467.0,96.0,668.4599999999999,668.4599999999999,584.4449950128906,453.7489414215088
1,1,7,draft|draft_verify,244.7068691253662,129.13775444030762,0.0,563.0,50.0,356.1488,356.1488,373.9046635656738,244.7068691253662
1,1,8,draft|draft_verify,366.90378189086914,152.21190452575684,0.0,613.0,73.0,531.2536,531.2536,519.175744816626,366.90378189086914
1,1,9,draft|draft_verify,166.47744178771973,161.76199913024902,0.0,686.0,31.0,228.44799999999998,390.270023930249,328.29946571796876,328.29946571796876
2,2,1,draft|draft_verify,380.9342384338379,47.01662063598633,0.0,103.0,82.0,498.6736,380.9342384338379,428.0109246698242,380.9342384338379
2,2,2,draft|draft_verify,282.47523307800293,63.793182373046875,0.0,185.0,63.0,393.8352,393.8352,346.3284658510498,282.47523307800293
2,2,3,draft|draft_verify,331.78114891052246,79.60200309753418,0.0,248.0,67.0,429.16960000000006,429.16960000000006,411.44320560805664,331.78114891052246
2,2,4,draft|draft_verify,253.32236289978027,79.14543151855469,0.0,315.0,50.0,326.984,326.984,332.5278344183349,253.32236289978027
2,2,5,draft|draft_verify,218.75953674316406,105.11469841003418,0.0,365.0,40.0,265.636,265.636,323.9342671531982,218.75953674316406
2,2,6,draft|draft_verify,436.82336807250977,145.12085914611816,0.0,405.0,86.0,585.032,585.032,582.0042960186279,436.82336807250977
2,2,7,draft|draft_verify,280.6868553161621,139.86706733703613,0.0,491.0,57.0,397.0008,397.0008,420.61396825319827,280.6868553161621
2,2,8,draft|draft_verify,216.89271926879883,131.42776489257812,0.0,548.0,36.0,254.18400000000003,385.67179369257815,348.38051296137695,348.38051296137695
3,3,1,draft|draft_verify,180.04083633422852,24.988412857055664,0.0,70.0,38.0,226.0232,180.04083633422852,205.08927959128417,180.04083633422852
3,3,2,draft|draft_verify,88.12618255615234,32.34362602233887,0.0,108.0,18.0,108.09360000000001,108.09360000000001,120.52982297849121,88.12618255615234
