problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
0,0,6,5241.885123215283,5299.901937407251,4793.910783096875,2914.3436276485895,3704.568774993269,3471.1085774714284,1.0110679293475973,0.9145394586893144,1.2711502994525958,1.1910430000569492
1,1,5,1034.6899642099122,841.2713666605713,683.8585643594482,482.39648078073117,587.9964617709394,525.8900034427643,0.813066131653229,0.6609308952577323,1.2189070302073943,1.0901613597836397
2,2,7,8331.573645502931,9474.661542313866,8042.360938078003,5084.455124947767,6622.715288382991,6069.699915052561,1.1371995190161863,0.9652871450543998,1.302541791722673,1.1937758847099502
3,3,5,1373.8311577245117,1040.2686634005859,879.3272333287598,631.1826422511598,727.0955656498096,669.1020112037659,0.7572027010390358,0.6400548046858953,1.151957479465166,1.0600766979544365
4,4,5,4658.868217824536,5478.147827341357,4368.01354861272,2884.857196546735,3829.173087602808,3420.208117150659,1.1758537849133204,0.9375696723725679,1.3273354023160833,1.185572762923848
5,5,7,3511.5920315914545,3640.7655614067135,2973.479687890283,1983.4067799482789,2544.8220080296933,2280.8587803840637,1.0367848909136286,0.8467611445577581,1.2830560194495526,1.1499702448549367
6,6,6,1447.7997024244628,1214.0943347328614,954.0029814629638,680.0415613164979,848.5892678230699,738.6813948361248,0.838578936506036,0.6589329862862973,1.2478491258391313,1.0862297789654292
7,7,7,9861.31673190232,11390.593162355444,9287.002031557471,5854.515031129125,7961.951463508853,6864.653859615326,1.1550783198663284,0.9417608504058201,1.3599677208401117,1.1725401375033075
8,8,7,8920.401829188842,10589.098408766773,8674.989400416871,5546.414051641498,7401.706657755174,6633.567242860794,1.1870651806421673,0.9724886352127158,1.334503084125966,1.196010103302249
9,9,5,1780.3678821921876,1378.2682944912353,1146.2136629488525,820.1536210013123,963.3572992909736,873.1711114449481,0.7741480332672356,0.6438072009800055,1.1746059209186033,1.0646433656891103
10,10,6,1961.1313461544191,1504.3945207769775,1242.4096183518554,895.7128851376343,1051.509088263107,941.7030055367873,0.7671054382598818,0.6335167814170608,1.1739354269772877,1.0513447123093314
11,11,6,3694.0261841954593,3798.8043382690676,3023.1212930821775,2045.5856819471496,2655.3015392756784,2350.1276178359985,1.028364215316581,0.8183811219358204,1.2980641987815211,1.1488776239374936
12,12,7,2222.213081394385,1824.8021035081056,1455.3922785233888,1045.5348913905946,1275.4635424673659,1124.7733325913905,0.8211643243334191,0.6549292193033825,1.2199148521681173,1.0757874671168615
13,13,11,6424.35485950216,6471.750012698145,4519.059079049512,3527.086071898835,4523.638305845603,3715.084244316211,1.007377418313978,0.7034261303865311,1.2825426467152434,1.053301271526999
14,14,7,3348.978539366016,3466.663279040747,2765.8261629988283,1877.2378339415588,2423.1245084798816,2138.7361578941345,1.0351404878506656,0.82587156964058,1.2907924955849346,1.13929951720796
15,15,6,2550.126515596338,2854.9212896693607,2150.2437032733396,1474.313032112213,1995.527306818083,1714.2806396484375,1.1195214324500868,0.8431909907695355,1.353530263487625,1.162765710069339
16,16,6,2001.2351978398685,1893.7823131700195,1485.507901205957,1036.294013477356,1323.691164472244,1153.4328832626343,0.9463067185776897,0.742295509697917,1.2773316715692558,1.113036327781351
17,17,6,2575.335025659668,2778.640959815869,2148.083343846167,1467.3614099492615,1942.2073517960923,1707.580272137939,1.0789434897326122,0.834098601713359,1.3236053085676078,1.1637080412227712
18,18,8,2041.5778302966066,1647.018510398877,1307.4425701362304,946.316253644806,1151.1823747816152,1004.0049201497352,0.8067380464058003,0.6404078995833733,1.2164880084725929,1.0609612973281788
19,19,8,4034.4838644109623,4480.45524032268,3497.981972464551,2367.2022725350407,3131.754648580755,2733.4130330085754,1.1105398833902214,0.8670209350249214,1.3229772060107707,1.1547019300895478
20,20,7,4661.257791786059,4661.050416516675,3577.30309619397,2544.382234709915,3258.001086533956,2825.7268250165607,0.9999555108773968,0.7674544631489371,1.280468414725196,1.1105748131977198
21,21,6,5971.986651379237,7251.25716989458,5891.419044800409,3612.6214544193144,5068.566080135513,4331.975092470646,1.214211885121996,0.9865090779196198,1.403016104534048,1.1991223401420448
22,22,6,1436.8186611594726,1219.1306863978027,940.871370163208,681.7118205239258,852.1096780544642,734.7658260865192,0.8484930766517176,0.6548295867788569,1.2499558499654297,1.0778246818748412
23,23,7,2182.011631124121,1770.0073071475097,1389.8899004386963,1031.583656510193,1237.1619812033093,1084.2732832431793,0.8111814263041502,0.6369763939904655,1.1992842009426359,1.0510764458126773
24,24,7,2584.0986320661864,2836.8517728958986,2065.552114085791,1485.801414719302,1982.8862623438329,1692.5081472382249,1.0978109495099329,0.7993317625164418,1.334556719828161,1.139121372796629
25,25,8,2335.651461880469,1972.8869153476803,1537.2030049377197,1107.2427634521912,1378.964383437629,1193.5097350446624,0.844683784180401,0.6581474291117451,1.245403834601056,1.0779115244099728
26,26,7,2957.2485526202395,3121.319488439453,2317.132127609497,1658.008628922638,2181.729192307178,1870.8879186745514,1.0554809421324562,0.7835432451413074,1.3158732435095044,1.12839456082339
27,27,5,2721.554382469043,2742.5497128305665,2212.9789969289795,1514.6234119821625,1916.9900102925658,1723.875479932165,1.0077144629175023,0.8131305445093936,1.2656545482707366,1.138154518340739
28,28,7,3285.332367763489,4001.4542293775635,2951.1768187082275,2062.6416895861726,2796.943390142916,2388.867411375046,1.2179754683699109,0.8982886625614869,1.3560006104133706,1.1581591817114507
29,29,11,2167.0997212321536,2663.383241222608,1915.1109706925781,1281.860853295581,1861.5900148514017,1537.521855911803,1.2290081601359264,0.883720740642105,1.4522559215888173,1.1994452065206096
30,30,11,2528.609855145337,2859.607020231934,2051.77335648042,1423.0496157360533,1998.7504288621224,1645.553524595343,1.1309008443564625,0.8114234595366195,1.404554280300547,1.1563570984446685
31,31,5,1934.8584229027344,1489.2776722509766,1241.8283162560058,891.6501234791484,1040.9528511434328,943.1418472458508,0.7697088606703927,0.6418186992684336,1.1674454180320382,1.057748799008501
32,32,7,1563.8154911425781,1295.8403666303225,993.7819819750977,733.6624115301208,905.7193020313955,773.7919263839722,0.8286401905914976,0.6354854441613224,1.2345177942842052,1.054697520580559
33,33,7,1797.7851608542967,1402.1715046309325,1137.9379563315917,830.5138038207398,980.0447626218219,872.9789972305298,0.77994386379551,0.6329665975164966,1.1800463256759512,1.0511312313105825
34,34,3,1184.075327034253,837.5357617084961,768.5117491918945,527.0060348476868,585.4061516822387,566.353038663783,0.7073331760119244,0.6490395768289351,1.1108148919991598,1.0746613913585792
35,35,5,1724.4807357618652,1300.430817697632,1103.3519620908692,792.7968245470582,908.9489046826446,836.6803656052589,0.7540999390306958,0.6398169252980462,1.1465092650969517,1.0553528214284564
36,36,5,1419.4935035266114,1082.2005366000735,904.0495734515381,652.554751980957,756.4059440418511,689.2655403614044,0.7623849872587919,0.6368817970674071,1.159145560959649,1.0562570240566094
37,37,7,4987.705328142505,6925.565991668115,4810.4384474738645,3359.366650455484,4840.897484561612,4021.5701934099197,1.388527496320096,0.9644592314488921,1.441014925806105,1.1971215445818186
38,38,7,3054.8037608608397,3172.6910556413086,2436.9060091555907,1710.8386584513612,2217.637919034075,1943.517522013222,1.0385907914252561,0.7977291505195979,1.296228553218142,1.1360028091558791
39,39,8,8739.245351913965,11361.740223667799,8398.180377807861,5714.855401550424,7941.772805028592,6788.261025222103,1.3000825318606584,0.9609731778463677,1.3896716971831014,1.1878272586530303
40,40,5,1387.1274120950438,1054.7971787552979,884.4639568155029,637.793692556488,737.2509974651531,674.1277935504913,0.7604183794206677,0.6376227223998517,1.1559396182016277,1.0569684232033782
41,41,9,4377.077645746802,5636.915029590356,3954.9950491706054,2795.737343209925,3940.1095904212593,3274.9113452752035,1.287826144703587,0.9035697717205603,1.4093275249875312,1.1713944992826526
42,42,5,1502.9385202231933,1183.4049374942626,967.0795731528808,698.8163560162659,827.1478192924897,742.6966381072998,0.7873941093202678,0.6434591702455433,1.1836411843703851,1.062792294017246
43,43,5,4354.17510090774,4565.0699792730475,3907.2651184278807,2495.1110720082215,3190.9316747262596,2942.0574131011963,1.0484350935545383,0.8973605856166214,1.2788735982635027,1.1791288356286458
44,44,6,5234.410933442285,6036.87264287793,4867.097749250391,3198.3219165192145,4219.711290739673,3779.038987872037,1.1533050652001304,0.9298272166892447,1.3193516477953706,1.1815692999361447
45,45,6,4653.302565617676,4729.335572820507,3995.420129750171,2624.209526900131,3305.7428772383355,3023.662669450505,1.0163395794987895,0.8586203182383911,1.259709959647647,1.1522184636766528
46,46,9,4541.046514958496,5240.793789286327,3880.4477863686034,2689.7338385907105,3663.2208394119443,3113.057415787273,1.154093835423799,0.8545272050365839,1.3619268891420475,1.1573849319672327
47,47,6,5543.610864781909,5881.680784531983,4894.408874986987,3184.7001758323236,4111.232174795856,3736.5447816207175,1.0609837032209102,0.8828918541308072,1.2909322535272516,1.1732799244262198
48,48,5,1234.4749797878176,960.3371498267334,791.0109960831298,567.4367508752136,671.2234404456866,602.9318365105903,0.7779316434520178,0.6407671350448021,1.182904419585782,1.0625533781177006
49,49,7,1603.4949944397706,1337.5669590332031,1038.5762535533447,751.2088250127564,934.8861895642091,805.2793600766033,0.8341572400732828,0.6476953511889213,1.244509061176609,1.071978034953102
50,50,9,3585.6688127768193,4375.1941154231445,3130.0123571158083,2156.4658882177164,3058.1666746199785,2544.8579529494373,1.2201891317550044,0.8729228828838376,1.418138209989263,1.1801058235392357
51,51,6,2264.825249376636,2584.9974050695805,1810.4635647520263,1304.9865172613372,1806.850504383637,1503.641075608167,1.141367266980562,0.799383336639475,1.3845740783403022,1.1522272879598243
52,52,6,1900.8276026769045,1501.778107289917,1202.4926341643554,878.931906918274,1049.6802166276518,921.2856834001135,0.7900653931871504,0.6326153052864472,1.194267961335092,1.0481877789945537
53,53,6,5099.76858879242,5350.933564515308,4456.636548042297,2806.9231529548038,3740.2398757994006,3261.38846719265,1.0492502691739511,0.8738899560730048,1.3325052635880354,1.1619087126626313
54,54,7,2790.741023319433,3207.397825019702,2381.8618620431885,1645.4387101525972,2241.897961547971,1910.6717599146052,1.1492997014838298,0.853487243044177,1.362492536315776,1.1611929074753629
55,55,4,1223.9085236136718,920.9936334039062,791.4375501211425,556.7024818100585,643.7327628837305,596.2928174619544,0.7525020176218814,0.6466476332596902,1.1563317641241733,1.0711157879576396
56,56,4,1136.631647620996,925.4921119543944,786.9400299269043,520.880794966919,646.8771999473215,594.6456542015076,0.8142410198514858,0.6923439370828652,1.24189105491671,1.1416156248173315
