problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
0,0,6,24653.23404665898,28854.35059795383,23895.23009412297,12605.085556486483,17917.863758072872,16326.816812336445,1.1704083343931173,0.9692533664710519,1.4214789481418848,1.2952563264384023
1,1,7,4047.5531601770017,4398.01679205293,2733.4714667486937,2154.0567100601074,2790.841608026747,2269.544566988945,1.0865865420432435,0.6753392379481824,1.2956212317868225,1.0536141209233136
2,2,7,7918.45257162276,8764.083204675415,5998.198665411284,4264.403420486748,5480.626130058499,4344.177670839284,1.106792409931598,0.7574963177662943,1.2852034832654107,1.0187070130300735
3,3,31,12731.342809358863,13398.297656065599,8679.681397270653,6287.33440191155,8648.666390827324,6766.722607172668,1.05238684219676,0.6817569463992583,1.3755696512973532,1.0762466531309944
4,4,6,12724.141692989324,11998.2753822886,8554.576485909247,6575.919019592565,7508.0933041075305,5691.360310614109,0.9429536130440408,0.6723106903644903,1.141755742693547,0.8654851578398449
5,5,23,27604.910417977077,22711.836249558743,15182.714468729315,13897.392397817872,14454.902559211943,11273.61136550534,0.8227462399141918,0.5500004976955808,1.04011617038903,0.8112033569171933
6,6,5,3734.530177250586,4860.037647440235,3179.9475006239986,2051.435180322936,3032.879560657586,2272.320064099919,1.3013785983162849,0.8514986757892853,1.4784184212830704,1.107673342982356
7,7,11,23226.475710709765,21039.622035266726,14504.308305024824,12588.26997826469,13211.89036058867,10453.650252779325,0.9058465131481537,0.6244730576295251,1.0495398004174317,0.8304278722039591
8,8,5,6162.270266201691,6317.20023885874,4456.786054959015,3223.635234247963,3960.9081653492285,3059.7431411147118,1.025141703619654,0.7232376806650669,1.228708547191836,0.9491592313571776
9,9,8,5356.207954736206,7223.370684226098,3834.913390956958,3233.611115603552,4539.426181628185,3383.9622326892427,1.3485978784372739,0.715975448183626,1.4038256362131856,1.0464963508939533
10,10,8,17541.20645911397,13800.566550986183,11069.215315352445,9224.48578732721,8673.445678319238,7862.001122514408,0.7867512752417183,0.631040706416243,0.9402633250554733,0.8522969522393745
11,11,35,7939.859712881251,8935.530646836158,5992.072825581299,3859.788385970222,5771.942084484113,4442.97876673371,1.1254015776046493,0.754682455643397,1.4954037650002514,1.1510938741831809
12,12,8,5487.612750256995,5849.030682053052,3558.345304594775,2821.6808373642543,3716.7248848158074,2947.4521565437317,1.0658606844623157,0.6484322904213915,1.3172024403325566,1.0445731910973182
13,13,16,23470.3705663624,20574.513439615668,14351.627125379846,10441.481654384483,13015.12550794388,9848.531717419624,0.8766164718806333,0.6114785058378462,1.2464826294531388,0.9432120884189005
14,14,8,4240.594311388148,5348.2483130950195,2941.2162997920777,2330.304580284231,3391.3368940326336,2570.7889871253433,1.2612025391658568,0.6935858711816453,1.4553191555839393,1.10319870152415
15,15,79,28017.92423518613,32197.112656371064,23741.570296063,14506.74940499363,20775.94405447414,16992.430973626153,1.1491612435705187,0.84737077939012,1.4321570928441403,1.1713465573326083
16,16,10,13471.307537063487,15806.548582190555,9748.620299355005,7671.627389429219,9894.14111366896,7641.37537936607,1.173349249039274,0.7236580615900657,1.2897056402012115,0.9960566371999723
17,17,65,23643.734058703183,26244.59322821613,18079.643072400828,12000.345571450573,16990.456868851874,13505.592549374196,1.110002048029109,0.7646695326344093,1.41583063318385,1.1254336359700075
18,18,5,6390.142231614624,8851.371996945629,6057.276592405176,3454.0678905179993,5477.115691144844,4170.5622000694275,1.3851604042793138,0.9479095101259835,1.5857000686583067,1.2074349237657795
19,19,7,4275.453877894629,4635.32937456604,2945.8781323150515,2125.6557774259213,2942.9674179800563,2356.9978107213974,1.0841724661168899,0.6890211463971392,1.384498585911151,1.1088332531317096
20,20,7,20742.931729357064,17216.76403082539,13670.674960814582,10814.275075744301,10753.934631046022,9331.918425073227,0.8300063007226139,0.6590522082019267,0.9944202968506305,0.8629259344441957
21,21,4,7835.430075281061,8485.5921313,5557.132148723016,4208.97640757815,5295.73825356318,3961.9284380078316,1.0829772009669318,0.7092312860087234,1.2582009830295897,0.9413045012261139
22,22,10,5999.158944270104,7387.006251205639,4287.020356542261,3429.6477155790085,4661.43352533388,3586.1602469853237,1.2313403128385338,0.7146035629939201,1.359158115324657,1.0456351626714793
23,23,28,8613.289644236414,9311.654516735842,5882.500125051599,4345.463514562627,5985.393902880556,4653.615729591167,1.0810799243198257,0.6829562650302693,1.3773890593770153,1.0709135432838988
24,24,8,5095.106313793299,6237.280919405201,3490.148654956946,2916.980122988586,3936.093863238771,2986.2558637857437,1.2241709073900666,0.6850001629030849,1.3493728778672835,1.0237491302224513
25,25,8,8068.220482895271,8073.793308980835,5415.581708598944,4424.554844820641,5110.565231857297,4357.8424761891365,1.0006907131625093,0.6712238120016731,1.1550461935938472,0.9849222416782566
26,26,34,22308.08306146007,20312.13507006255,14731.388510641933,11289.38777884083,12996.138190300273,10724.00522406936,0.9105280365911061,0.6603610211624235,1.1511818395199716,0.9499191129007776
27,27,80,26306.42363503394,31297.988546199875,22383.04922651612,13604.678589981828,20163.609313454206,16170.26687172392,1.189746997935453,0.8508586928063907,1.4821084658554318,1.1885813225776118
28,28,14,4837.128021111035,5286.666007751538,3368.7165313932005,2316.7181540601555,3380.7687039169655,2586.0687665181395,1.092934895392173,0.6964290621812906,1.4592921879564902,1.1162638674825138
29,29,36,18723.789042071166,18130.92274832248,12767.045238763523,9751.616746264495,11647.851263598328,9649.965451347425,0.9683362009464775,0.6818622667707258,1.1944533472421601,0.9895759546788988
30,30,3,1459.5534926900145,2351.5108891411132,1367.2289848327637,882.2889652141846,1461.7631506859925,1117.023687362671,1.6111166195129896,0.9367446905374511,1.656785031116347,1.2660519754902546
31,31,8,6041.016824932318,7054.017421537255,4344.207274911627,3294.730048050235,4433.501906020908,3378.633011325558,1.1676871006920737,0.719118552522869,1.3456343437437548,1.0254658081395698
32,32,20,26375.449212414962,19277.399961564573,14646.88895216406,13402.491037666432,12258.01728438981,10417.686430795595,0.7308842327694147,0.5553228244268062,0.9146073852942571,0.7772947880746701
33,33,6,4939.177473809386,4971.205032017408,3199.1391177487794,2656.872130289417,3159.433457503343,2660.7289424049413,1.0064843910505041,0.6477068570045558,1.1891552557176253,1.0014516363326467
34,34,10,13996.496562391161,15436.677827501344,9759.363152164427,7603.064300943136,9654.508213123105,7080.11788462326,1.1028958395903141,0.6972718571866057,1.269818040592593,0.9312189933399607
35,35,6,3622.4683205406736,2778.8564485927973,2285.002664553125,1462.197001523407,1803.4151217783258,1614.422613620758,0.7671168393207749,0.6307861000733543,1.2333598823547147,1.1041074574347731
36,36,53,22094.20474967709,24084.494693221164,16518.261456546057,11151.554834552966,15544.549961598921,12312.837436475016,1.0900819905533445,0.7476286946597376,1.3939356611899814,1.104136384490872
37,37,6,6443.235380616882,8094.544056176807,4907.609931929394,3706.582616988075,5063.49912349566,3888.9688320487217,1.2562856357114534,0.7616685782879989,1.36608289810904,1.0492060298952277
38,38,13,11173.526014792547,12112.669623879468,7366.8871674214415,5895.049411808801,7653.961406399053,5841.243309687331,1.0840507828812136,0.6593162406986367,1.2983710350360844,0.9908726630834193
39,39,24,10447.11790456781,11263.185306406544,7452.8770359771115,5318.789881102016,7192.099888829239,5603.77245546321,1.078114118103513,0.7133907269026302,1.3522060561901885,1.053580340778972
40,40,6,7200.566980891345,8023.8611945234625,5142.578558418201,3877.390287548474,5019.400023991204,3703.2730420827866,1.1143374147920506,0.7141907813739427,1.2945305093763926,0.9550942173593323
41,41,7,8820.34814801308,9519.231372253955,6229.207969657465,4742.139328149781,5971.47527199885,4478.388238966465,1.0792353331765379,0.7062315302214789,1.2592365720997727,0.9443814129168105
42,42,5,4551.56391504466,5311.023902367115,3579.360527553815,2435.2729592525893,3317.9727947597858,2497.3244292140007,1.1668569312653503,0.7864023430985247,1.3624644342858823,1.025480293585018
43,43,9,10666.880446523266,11125.673373529979,6629.659555799781,5910.760184196874,6995.312445238325,5231.349413658076,1.0430109748868752,0.621518126975974,1.1834877794469028,0.8850552637281267
44,44,40,22209.288116295098,19501.601768067118,13576.852701077953,10230.23804443797,12577.762364280265,9871.688471369405,0.8780831544870034,0.6113141776532913,1.2294691784927338,0.9649519814190929
45,45,5,6259.145411391211,7432.623210954809,5117.512490477515,3433.0892970149675,4624.205244659255,3646.6407981313155,1.187482111763684,0.8176056241102813,1.3469516358575204,1.0622038877060462
46,46,32,16463.922049377492,15259.481553124735,9720.848707741407,7334.9948199735545,9903.069180296347,7369.142620982866,0.92684364681511,0.5904333535221613,1.3501126344806405,1.0046554635480212
47,47,47,16616.964387506385,19972.05123178115,12660.363034934328,8267.656387510537,12923.778177640608,9601.817465652324,1.2019073259131083,0.7618938537566546,1.5631731136242917,1.1613711329557945
48,48,21,13922.362152008289,13068.322041818212,8978.721878378943,6925.898920780633,8335.041009261846,6656.579451830391,0.938656953405936,0.6449136849298069,1.2034598114409654,0.961114149653243
49,49,9,15290.47314931391,14108.691615777734,10306.960714227618,7709.128505699503,8851.719743118503,7096.893923027363,0.9227112515096236,0.674077290714192,1.1482127631643786,0.9205831655005486
50,50,8,5664.877766394237,6239.839499577538,3812.630176216455,3135.262201351496,3955.373972393783,3226.078138599891,1.1014958763266078,0.6730295574662045,1.2615767736072494,1.0289659784145797
51,51,16,12770.484798243539,13592.958255406444,8344.009331313173,6664.0297744331265,8611.273847503671,6527.504710563453,1.0644042469927242,0.6533823471181621,1.292202186812136,0.979513137172127
52,52,15,17211.45642726624,11884.507310612671,8487.94344939148,7042.640555124188,7690.833993361636,6224.995006799698,0.6904998052219066,0.49315660677878215,1.0920384099066118,0.8839007128186351
53,53,17,4701.904467717834,4701.898606510547,3127.613991991736,2338.138483378901,3028.107047347728,2450.2641024112204,0.9999987534397333,0.665180250569784,1.2950931131212282,1.0479550804323121
