dataset,method,run_tag,example_idx,problem_ordinal,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,prm_input_tokens,prm_output_rewards,target_input_tokens,target_output_tokens,draft_calls,prm_calls,target_calls
gsm8k,bbeam1,step-profile-config1-bbeam1-gsm8k-exclusive0817,0,0,1,draft|draft_verify,87.15057373046875,3814.375400543213,0.0,121,21,88,1,0,0,1,1,0
gsm8k,bbeam1,step-profile-config1-bbeam1-gsm8k-exclusive0817,0,0,2,draft|draft_verify,268.3372497558594,57.1138858795166,0.0,142,70,160,2,0,0,1,1,0
gsm8k,bbeam1,step-profile-config1-bbeam1-gsm8k-exclusive0817,0,0,3,draft|draft_verify,31.554222106933594,56.26535415649414,0.0,212,8,170,3,0,0,1,1,0
gsm8k,bbeam1,step-profile-config1-bbeam1-gsm8k-exclusive0817,0,0,4,draft|draft_verify,425.4636764526367,87.12530136108398,0.0,220,113,285,4,0,0,1,1,0
gsm8k,bbeam1,step-profile-config1-bbeam1-gsm8k-exclusive0817,0,0,5,draft|draft_verify,211.92598342895508,99.63846206665039,0.0,333,55,342,5,0,0,1,1,0
gsm8k,bbeam1,step-profile-config1-bbeam1-gsm8k-exclusive0817,0,0,6,draft|draft_verify,62.58893013000488,98.00267219543457,0.0,388,15,359,6,0,0,1,1,0
gsm8k,bbeam1,step-profile-config1-bbeam1-gsm8k-exclusive0817,1,1,1,draft|draft_verify,100.92043876647949,21.78645133972168,0.0,82,27,55,1,0,0,1,1,0
gsm8k,bbeam1,step-profile-config1-bbeam1-gsm8k-exclusive0817,1,1,2,draft|draft_verify,129.94766235351562,28.63907814025879,0.0,109,35,92,2,0,0,1,1,0
gsm8k,bbeam1,step-profile-config1-bbeam1-gsm8k-exclusive0817,1,1,3,draft|draft_verify,191.27702713012695,49.47614669799805,0.0,144,53,147,3,0,0,1,1,0
gsm8k,bbeam1,step-profile-config1-bbeam1-gsm8k-exclusive0817,1,1,4,draft|draft_verify,139.41407203674316,57.27100372314453,0.0,197,38,187,4,0,0,1,1,0
