dataset,method,run_tag,example_idx,problem_ordinal,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,prm_input_tokens,prm_output_rewards,target_input_tokens,target_output_tokens,draft_calls,prm_calls,target_calls
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,0,0,1,draft|draft_verify,337.8942012786865,3293.2045459747314,0.0,103,35,85,1,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,0,0,2,draft|draft_verify,414.74437713623047,67.80290603637695,0.0,138,113,200,2,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,0,0,3,draft|draft_verify|target|target_rescue_verify,578.2818794250488,179.8863410949707,1617.6722049713135,251,152,631,6,251,75,1,2,1
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,0,0,4,draft|draft_verify,132.8275203704834,81.05635643005371,0.0,326,33,312,4,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,1,draft|draft_verify,225.2042293548584,57.064056396484375,0.0,166,60,173,1,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,2,draft|draft_verify|target|target_rescue_verify,344.6769714355469,151.61371231079102,1128.7202835083008,226,89,492,4,226,53,1,2,1
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,3,draft|draft_verify|target|target_rescue_verify,521.6841697692871,202.34370231628418,2673.819065093994,279,137,729,6,279,132,1,2,1
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,4,draft|draft_verify|target|target_rescue_verify,266.05987548828125,266.3693428039551,1913.6416912078857,411,68,890,8,411,94,1,2,1
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,5,draft|draft_verify,284.08145904541016,127.1824836730957,0.0,505,71,531,5,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,6,draft|draft_verify,182.6627254486084,129.85491752624512,0.0,576,47,580,6,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,7,draft|draft_verify,209.8560333251953,131.66499137878418,0.0,623,54,636,7,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,8,draft|draft_verify,356.22191429138184,159.559965133667,0.0,677,90,728,8,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,9,draft|draft_verify,252.34580039978027,173.58016967773438,0.0,767,66,796,9,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,10,draft|draft_verify,182.814359664917,175.02212524414062,0.0,833,46,844,10,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,1,1,11,draft|draft_verify,273.54931831359863,199.48148727416992,0.0,879,70,916,11,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,2,2,1,draft|draft_verify,300.20928382873535,46.250104904174805,0.0,103,82,131,1,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,2,2,2,draft|draft_verify,226.0298728942871,59.156179428100586,0.0,185,63,196,2,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,2,2,3,draft|draft_verify,254.04620170593262,76.07030868530273,0.0,248,67,265,3,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,2,2,4,draft|draft_verify,192.0299530029297,77.06546783447266,0.0,315,50,317,4,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,2,2,5,draft|draft_verify,153.90396118164062,91.79472923278809,0.0,365,40,359,5,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,2,2,6,draft|draft_verify,329.58221435546875,125.68974494934082,0.0,405,86,447,6,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,2,2,7,draft|draft_verify,228.3308506011963,135.32757759094238,0.0,491,57,506,7,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,2,2,8,draft|draft_verify,146.32201194763184,126.17158889770508,0.0,548,36,544,8,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,3,3,1,draft|draft_verify,142.02141761779785,20.69711685180664,0.0,70,38,54,1,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,3,3,2,draft|draft_verify,66.1466121673584,30.03859519958496,0.0,108,18,74,2,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,3,3,3,draft|draft_verify,231.89854621887207,50.4608154296875,0.0,126,64,140,3,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,3,3,4,draft|draft_verify,80.59334754943848,49.60036277770996,0.0,190,22,164,4,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,3,3,5,draft|draft_verify,87.20517158508301,56.72860145568848,0.0,212,23,189,5,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,4,4,1,draft|draft_verify|target|target_rescue_verify,193.21608543395996,218.24288368225098,700.0837326049805,395,49,760,2,395,29,1,2,1
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,4,4,2,draft|draft_verify,99.3804931640625,124.04918670654297,0.0,424,25,397,2,0,0,1,1,0
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,4,4,3,draft|draft_verify|target|target_rescue_verify,106.36234283447266,250.29397010803223,333.3606719970703,449,27,840,6,449,15,1,2,1
math500,bbeam1,step-profile-config1-bbeam1-math500-exclusive0817,4,4,4,draft|draft_verify|target|target_rescue_verify,379.50754165649414,263.99874687194824,1677.8779029846191,464,99,1012,8,464,82,1,2,1
