dataset,method,run_tag,example_idx,problem_ordinal,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,prm_input_tokens,prm_output_rewards,target_input_tokens,target_output_tokens,draft_calls,prm_calls,target_calls
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,0,0,1,draft|draft_verify,121.47808074951172,3883.350133895874,0.0,92,27,66,1,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,0,0,2,draft|draft_verify,440.45543670654297,66.50280952453613,0.0,119,91,159,2,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,0,0,3,draft|draft_verify,378.22461128234863,72.28827476501465,0.0,210,83,244,3,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,0,0,4,draft|draft_verify,630.4020881652832,106.47797584533691,0.0,293,137,383,4,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,0,0,5,draft|draft_verify,96.99296951293945,127.4557113647461,0.0,430,19,404,5,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,1,1,1,draft|draft_verify,361.62877082824707,32.207489013671875,0.0,88,88,122,1,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,1,1,2,draft|draft_verify,250.34117698669434,53.03335189819336,0.0,176,49,173,2,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,1,1,3,draft|draft_verify,182.42144584655762,61.3558292388916,0.0,225,39,214,3,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,1,1,4,draft|draft_verify,121.52862548828125,67.40164756774902,0.0,264,25,241,4,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,2,2,1,draft|draft_verify,254.65083122253418,53.319692611694336,0.0,129,56,131,1,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,2,2,2,draft|draft_verify,212.2800350189209,75.27637481689453,0.0,185,47,180,2,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,2,2,3,draft|draft_verify|target|target_rescue_verify,488.88134956359863,175.34542083740234,586.9832038879395,232,107,561,6,232,90,1,2,1
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,2,2,4,draft|draft_verify,449.21207427978516,116.93096160888672,0.0,322,93,367,4,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,2,2,5,draft|draft_verify,526.0443687438965,144.17552947998047,0.0,415,109,478,5,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,2,2,6,draft|draft_verify,407.69267082214355,129.94742393493652,0.0,524,84,564,6,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,2,2,7,draft|draft_verify,354.42566871643066,137.95208930969238,0.0,608,74,640,7,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,2,2,8,draft|draft_verify,77.61645317077637,155.05146980285645,0.0,682,15,657,8,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,3,3,1,draft|draft_verify,214.7977352142334,31.382322311401367,0.0,83,46,75,1,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,3,3,2,draft|draft_verify,164.0639305114746,40.128231048583984,0.0,129,36,113,2,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,3,3,3,draft|draft_verify,214.22958374023438,50.40550231933594,0.0,165,47,162,3,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,3,3,4,draft|draft_verify,47.74665832519531,51.74660682678223,0.0,212,10,174,4,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,3,3,5,draft|draft_verify,154.7982692718506,59.94081497192383,0.0,222,34,210,5,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,3,3,6,draft|draft_verify,49.34048652648926,59.424400329589844,0.0,256,10,222,6,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,3,3,7,draft|draft_verify,398.27942848205566,77.85344123840332,0.0,266,87,311,7,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,3,3,8,draft|draft_verify,149.10888671875,93.34635734558105,0.0,353,32,345,8,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,3,3,9,draft|draft_verify,63.89665603637695,92.89169311523438,0.0,385,13,360,9,0,0,1,1,0
gaokao2023en,bbeam1,step-profile-config2-bbeam1-gaokao2023en-exclusive0817,3,3,10,draft|draft_verify,36.0567569732666,97.89824485778809,0.0,398,7,369,10,0,0,1,1,0
