dataset,method,run_tag,example_idx,problem_ordinal,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,prm_input_tokens,prm_output_rewards,target_input_tokens,target_output_tokens,draft_calls,prm_calls,target_calls
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,0,0,1,draft|draft_verify|target|backtracking_verify,641.1023139953613,6284.065246582031,602.398157119751,220,145,580,2,220,103,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,0,0,2,draft|draft_verify|target|backtracking_verify|target_rescue_verify,1120.091199874878,493.68786811828613,781.1412811279297,688,279,1575,8,688,128,2,4,2
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,0,0,3,draft|draft_verify|target|target_rescue_verify,1221.1439609527588,1179.5639991760254,13959.143877029419,1299,311,5063,18,1299,2454,3,6,3
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,0,0,4,draft|draft_verify|target|target_rescue_verify,8452.305793762207,967.9584503173828,1182.2426319122314,1222,2115,4565,16,1222,198,2,4,2
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,0,0,5,draft|draft_verify,407.9716205596924,171.89264297485352,0.0,737,106,797,5,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,0,0,6,draft|draft_verify|target|backtracking_verify,304.8677444458008,353.4221649169922,474.49469566345215,843,80,1757,12,843,79,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,0,0,7,draft|draft_verify|target|target_rescue_verify,108.03675651550293,397.2041606903076,353.762149810791,923,27,1843,14,923,54,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,1,1,1,draft|draft_verify,97.21231460571289,30.35283088684082,0.0,136,25,108,1,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,1,1,2,draft|draft_verify,360.20517349243164,59.66019630432129,0.0,161,94,204,2,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,1,1,3,draft|draft_verify|target|target_rescue_verify,314.424991607666,163.28072547912598,473.008394241333,255,77,567,6,255,78,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,1,1,4,draft|draft_verify,373.94237518310547,99.58720207214355,0.0,333,97,383,4,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,1,1,5,draft|draft_verify|target|backtracking_verify,481.6575050354004,260.8911991119385,405.4250717163086,430,119,956,10,430,67,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,1,1,6,draft|draft_verify|target|target_rescue_verify,430.7212829589844,257.0066452026367,389.5292282104492,549,112,1186,12,549,62,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,1,1,7,draft|draft_verify,71.59924507141113,129.09197807312012,0.0,611,17,587,7,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,2,2,1,draft|draft_verify|target|backtracking_verify,211.1811637878418,60.52350997924805,425.8434772491455,103,57,226,2,103,71,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,2,2,2,draft|draft_verify|target|target_rescue_verify,598.494291305542,222.77450561523438,816.4868354797363,334,158,753,8,334,135,2,4,2
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,2,2,3,draft|draft_verify|target|target_rescue_verify|backtracking_verify,1269.6533203125,356.2662601470947,1295.2075004577637,469,317,1276,12,469,221,2,4,2
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,2,2,4,draft|draft_verify|target|target_rescue_verify,327.33964920043945,226.942777633667,343.45006942749023,363,81,765,8,363,54,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,2,2,5,draft|draft_verify|target|target_rescue_verify,374.4363784790039,254.26912307739258,1168.43843460083,417,98,1044,10,417,204,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,2,2,6,draft|draft_verify,180.9370517730713,142.12894439697266,0.0,621,46,623,6,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,2,2,7,draft|draft_verify|target|target_rescue_verify,113.43812942504883,281.4638614654541,94.38729286193848,667,28,1287,14,667,9,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,1,draft|draft_verify,419.10862922668457,59.6926212310791,0.0,194,108,247,1,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,2,draft|draft_verify,130.82647323608398,75.927734375,0.0,302,34,283,2,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,3,draft|draft_verify|target|target_rescue_verify,526.461124420166,216.8722152709961,389.6017074584961,336,133,761,6,336,59,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,4,draft|draft_verify|target|target_rescue_verify,139.54901695251465,185.03451347351074,207.49878883361816,395,36,757,8,395,31,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,5,draft|draft_verify|target|target_rescue_verify,287.5957489013672,216.6574001312256,73.64463806152344,426,71,832,10,426,7,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,6,draft|draft_verify,133.98313522338867,123.5203742980957,0.0,433,34,420,6,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,7,draft|draft_verify,332.54313468933105,136.31582260131836,0.0,467,82,503,7,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,8,draft|draft_verify,107.43999481201172,127.52795219421387,0.0,549,26,531,8,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,9,draft|draft_verify,234.46011543273926,129.1029453277588,0.0,575,58,590,9,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,10,draft|draft_verify,100.44693946838379,129.95076179504395,0.0,633,26,618,10,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,11,draft|draft_verify|target|target_rescue_verify,349.215030670166,304.6531677246094,259.3536376953125,659,87,1364,22,659,37,1,2,1
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,12,draft|draft_verify,298.9330291748047,153.29885482788086,0.0,696,75,733,12,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,13,draft|draft_verify,156.3584804534912,172.36757278442383,0.0,771,40,775,13,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,14,draft|draft_verify,21.40498161315918,172.91808128356934,0.0,811,5,781,14,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,15,draft|draft_verify,130.9196949005127,172.37448692321777,0.0,816,34,817,15,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,16,draft|draft_verify,346.7237949371338,198.62937927246094,0.0,850,87,905,16,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,17,draft|draft_verify,115.61441421508789,191.69950485229492,0.0,937,29,936,17,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,18,draft|draft_verify,248.83103370666504,203.7067413330078,0.0,966,64,1001,18,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,19,draft|draft_verify,119.98343467712402,220.05558013916016,0.0,1030,29,1032,19,0,0,1,1,0
olympiadbench,bbeam1,step-profile-config2-bbeam1-olympiadbench-exclusive0817,3,3,20,draft|draft_verify,156.2802791595459,227.2317409515381,0.0,1059,40,1074,20,0,0,1,1,0
