problem_ordinal,example_idx,step,phase,draft_latency_ms,prm_latency_ms,target_latency_ms,draft_input_tokens,draft_output_tokens,fpga_draft_ms,our,weak,strong
0,0,1,draft|draft_verify,107.54895210266113,5072.937726974487,0.0,92.0,27.0,84.07320000000001,107.54895210266113,5180.546700677149,107.54895210266113
0,0,2,draft|draft_verify,359.05909538269043,57.33013153076172,0.0,119.0,91.0,296.702,5072.997748574488,416.44929971345215,5072.997748574488
0,0,3,draft|draft_verify,320.6150531768799,67.52514839172363,0.0,210.0,83.0,287.7052,287.7052,388.2002679686035,320.6150531768799
0,0,4,draft|draft_verify,523.1287479400635,102.76579856872559,0.0,293.0,137.0,511.18359999999996,511.18359999999996,625.9546561087891,523.1287479400635
0,0,5,draft|draft_verify,78.39679718017578,124.96042251586914,0.0,430.0,19.0,73.5164,227.8463458845947,203.41723489604493,227.8463458845947
1,1,1,draft|draft_verify,324.2030143737793,30.53903579711914,0.0,88.0,88.0,280.1216,324.2030143737793,354.8021205708984,324.2030143737793
1,1,2,draft|draft_verify,180.82499504089355,49.72076416015625,0.0,176.0,49.0,163.7276,163.7276,230.6057984010498,180.82499504089355
1,1,3,draft|draft_verify,150.27451515197754,59.4632625579834,0.0,225.0,39.0,134.2284,134.2284,209.79780890996093,150.27451515197754
1,1,4,draft|draft_verify,106.84466361999512,59.29827690124512,0.0,264.0,25.0,87.6764,147.03469690124513,166.20296052124024,166.20296052124024
2,2,1,draft|draft_verify,208.85801315307617,45.763254165649414,0.0,129.0,56.0,181.444,208.85801315307617,254.68131211872557,208.85801315307617
2,2,2,draft|draft_verify,175.4894256591797,49.83019828796387,0.0,185.0,47.0,157.9084,157.9084,225.37966154714354,175.4894256591797
2,2,3,draft|draft_verify|target|target_rescue_verify,415.01665115356445,163.14959526062012,2003.312587738037,232.0,107.0,379.7212,2003.312587738037,2581.538919752222,2003.312587738037
2,2,4,draft|draft_verify,403.1486511230469,99.49874877929688,0.0,327.0,98.0,368.7928,368.7928,502.70747830234376,403.1486511230469
2,2,5,draft|draft_verify,423.8705635070801,148.41914176940918,0.0,425.0,109.0,437.1164,437.1164,572.3497924764893,423.8705635070801
2,2,6,draft|draft_verify,357.84244537353516,128.46946716308594,0.0,534.0,84.0,355.8192,355.8192,486.3719797366211,357.84244537353516
2,2,7,draft|draft_verify,282.24921226501465,151.46136283874512,0.0,618.0,74.0,327.13599999999997,327.13599999999997,433.7706343037598,282.24921226501465
2,2,8,draft|draft_verify,71.55513763427734,151.29399299621582,0.0,692.0,15.0,66.5532,302.8754270349609,222.90914263049316,302.8754270349609
3,3,1,draft|draft_verify,170.78161239624023,29.921770095825195,0.0,83.0,46.0,143.46800000000002,170.78161239624023,200.76341929206544,170.78161239624023
3,3,2,draft|draft_verify,133.76426696777344,29.38532829284668,0.0,129.0,36.0,115.668,115.668,163.20962406062011,133.76426696777344
3,3,3,draft|draft_verify,171.67425155639648,49.55697059631348,0.0,165.0,47.0,155.7004,155.7004,221.29125975270995,171.67425155639648
