problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
0,0,6,4759.725123215283,5299.901937407251,4793.910783096875,3002.2379343215066,3704.568774993269,3471.1085774714284,1.1134890776690627,1.0071822760761653,1.233935769261568,1.156173712213081
1,1,5,629.8129983330566,841.2713666605713,683.8585643594482,354.1821039032039,587.9964617709394,525.8900034427643,1.3357478630755277,1.085812084173295,1.6601529419217516,1.484801173315316
2,2,7,8027.35364550293,9474.661542313866,8042.360938078003,5332.997082717943,6622.715288382991,6069.699915052561,1.180297014523802,1.001869519300857,1.2418374106831027,1.1381404904049113
3,3,5,811.3111577245118,1040.2686634005859,879.3272333287598,449.2245106586304,727.0955656498096,669.1020112037659,1.2822067754105988,1.0838347592741273,1.6185571989021228,1.4894601592926489
4,4,5,4369.702619736988,5478.147827341357,4368.01354861272,2941.0863572670596,3829.173087602808,3420.208117150659,1.2536660510025934,0.999613458564288,1.3019587398858237,1.1629063895725975
5,5,7,2934.722031591455,3640.7655614067135,2973.479687890283,1897.3426159548094,2544.8220080296933,2280.8587803840637,1.2405827612342495,1.0132065851149148,1.3412559158426163,1.2021333212063312
6,6,6,886.5147853203857,1214.0943347328614,954.0029814629638,503.1020316070493,848.5892678230699,738.6813948361248,1.3695139154324298,1.0761275471769913,1.6867140550246582,1.4682536512058375
7,7,7,9293.05673190232,11390.593162355444,9287.002031557471,6075.237193459265,7961.951463508853,6864.653859615326,1.2257100640796101,0.9993484705281027,1.3105581247232398,1.1299400568270759
8,8,7,8688.636903541872,10589.098408766773,8674.989400416871,5846.484588076178,7401.706657755174,6633.567242860794,1.2187295344854598,0.9984292699445827,1.2660097783975774,1.134624943062342
9,9,5,1088.5386165926514,1378.2682944912353,1146.2136629488525,601.8123381890615,963.3572992909736,873.1711114449481,1.2661638948607052,1.0529839231030094,1.6007603004449062,1.4509026419638447
10,10,6,1167.159853160205,1504.3945207769775,1242.4096183518554,640.2105632396189,1051.509088263107,941.7030055367873,1.2889361441825427,1.0644725441745653,1.6424425784888945,1.4709270037213138
11,11,6,2959.9455962010743,3798.8043382690676,3023.1212930821775,1879.8697332744935,2655.3015392756784,2350.1276178359985,1.283403432530862,1.021343533125131,1.4124923085231451,1.2501545060478079
12,12,7,1406.502796666089,1824.8021035081056,1455.3922785233888,795.4802413479584,1275.4635424673659,1124.7733325913905,1.2974038216159502,1.034759605152002,1.6033880870580335,1.4139550854027974
13,13,11,4628.818568905469,6471.750012698145,4519.059079049512,2943.3219904085195,4523.638305845603,3715.084244316211,1.398142942169465,0.9762877960710585,1.5369158796036932,1.2622078917708133
14,14,7,2695.259764756641,3466.663279040747,2765.8261629988283,1726.5918743030822,2423.1245084798816,2138.7361578941345,1.2862074833643196,1.0261816687077503,1.4034147528106178,1.238703940244946
15,15,6,2105.2765155963375,2854.9212896693607,2150.2437032733396,1379.2111587890809,1995.527306818083,1714.2806396484375,1.3560790083960443,1.0213592786239127,1.446861341065508,1.2429428436132584
16,16,6,1420.9417747556886,1893.7823131700195,1485.507901205957,883.6266154421836,1323.691164472244,1153.4328832626343,1.3327655973064971,1.0454389670269,1.498020930265714,1.3053396797983892
17,17,6,2083.1463621506105,2778.640959815869,2148.083343846167,1351.5975989195845,1942.2073517960923,1707.580272137939,1.3338673701963215,1.0311725488306622,1.436971590766822,1.2633791843836608
18,18,8,1226.5887926993653,1647.018510398877,1307.4425701362304,685.762474927899,1151.1823747816152,1004.0049201497352,1.3427633777529209,1.0659175902454885,1.678689658401986,1.4640709529276827
19,19,8,3460.483864410962,4480.45524032268,3497.981972464551,2283.468598976599,3131.754648580755,2733.4130330085754,1.2947481958813687,1.0108360881087282,1.371490131278503,1.1970442835227215
20,20,7,3561.3375965632326,4661.050416516675,3577.30309619397,2251.6604293103496,3258.001086533956,2825.7268250165607,1.3087920732408769,1.004483006510291,1.4469326920364425,1.254952473398504
21,21,6,5881.0893739446965,7251.25716989458,5891.419044800409,3873.4475660182247,5068.566080135513,4331.975092470646,1.2329785706063594,1.0017564213360668,1.3085412913813703,1.1183771094451067
22,22,6,888.6953361239014,1219.1306863978027,940.871370163208,510.2993765147757,852.1096780544642,734.7658260865192,1.3718207318552105,1.0587108223914796,1.669823082822817,1.4398720827463993
23,23,7,1323.8816311241212,1770.0073071475097,1389.8899004386963,759.1796527936401,1237.1619812033093,1084.2732832431793,1.3369830546289692,1.0498596458797655,1.6296037132328074,1.4282169961395237
24,24,7,2016.3202033527587,2836.8517728958986,2065.552114085791,1322.5517303319625,1982.8862623438329,1692.5081472382249,1.4069450716105267,1.024416712509833,1.4992882447374103,1.2797292600520078
25,25,8,1500.4814618804687,1972.8869153476803,1537.2030049377197,854.8483503010194,1378.964383437629,1193.5097350446624,1.31483591465047,1.0244731734380976,1.6131099544756116,1.3961654539362327
