problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
0,0,5,5037.8308482554685,5923.928377412134,5247.568747703101,2893.3624776817587,3844.5772672460744,3560.2196301739277,1.1758887020717477,1.0416325807207802,1.328757560416853,1.2304782610668517
1,1,4,814.722838395996,1130.1584976682861,983.3816867175293,399.47978198452756,733.4310770075177,683.7692732810974,1.3871692855613467,1.2070137725040142,1.8359654482737366,1.7116492601560016
2,2,8,2754.6764654230224,4346.266085828369,3084.412483004199,1516.0704363737475,2791.2939280762157,2340.5676678676195,1.5777773326135176,1.1197004518389206,1.841137364799913,1.543838341354355
3,3,18,2851.6020813422856,4747.565218869727,3452.7676220496824,1551.7323413353367,3080.9818265888516,2514.5662663638554,1.6648764741520272,1.2108167702081423,1.9855111249002684,1.6204896936026711
4,4,17,3765.7072435266846,5979.3134956471185,4245.112427428174,2068.725353740757,3870.0603759818505,3128.1706491595783,1.5878328050927648,1.127308139719463,1.8707463361358447,1.5121246730519773
5,5,52,14821.296024813055,24128.03198981427,14938.062215389955,8785.745965012793,15565.663864213908,11445.485697853266,1.6279299697826934,1.0078782712646328,1.7716951897084863,1.3027335121493693
6,6,7,1327.6776011200927,2006.4617899944333,1636.5000610810303,668.8593847218324,1302.1205759095874,1156.0019900798798,1.5112567902792708,1.2326035023114046,1.9467777617430275,1.7283184126371225
7,7,21,2940.412612490454,4710.459113302612,3230.9647574537107,1685.3808542396507,3049.2726747660067,2421.414988782512,1.6019721495184902,1.0988133922868621,1.8092484361000216,1.4367168006515172
8,8,10,23057.438476785992,24833.833942001507,20848.08751022715,12191.50292698269,15475.267199797527,14109.547948360443,1.0770421860608659,0.9041805546273843,1.2693486022586342,1.1573263799275038
9,9,6,2233.099071914294,3051.106640068872,2656.64257494469,1162.999577918915,1975.5254008321829,1930.9952923112398,1.3663104689096268,1.1896662393340742,1.6986467049001093,1.6603576896963155
10,10,5,1136.0559453154053,1675.1866946726318,1449.6197005681151,554.9773937647785,1087.1439248921383,1004.3744196891785,1.4745635561174293,1.276010839559186,1.9588976724210736,1.809757354035347
11,11,14,3227.628758725147,5141.106504019873,3906.93701709917,1684.3082384422146,3336.431863251298,2798.4723796764233,1.5928431949065027,1.2104666642771944,1.980891494265386,1.6614965810917592
12,12,15,2894.1777850399167,4838.237871496485,3316.8100995638424,1640.561610036812,3103.4237034917737,2453.2986499135322,1.6717141208482311,1.146028456409459,1.8916837286117751,1.4954017178656787
13,13,12,2964.2623947704587,4491.687786512158,3365.5732721736813,1542.3968642988946,2914.9800042191905,2433.004201746128,1.5152800893862761,1.1353830477731033,1.8899027038311644,1.5774177567795198
14,14,3,3168.4561370482425,3564.3201413684815,3354.5651012846924,1458.1877916536864,2313.2123583449447,2270.99405169487,1.124939083010008,1.0587380592271132,1.5863610788577518,1.557408493400843
15,15,10,3708.017226171289,5552.174353356933,4240.149097502881,1944.065494583403,3570.5578765908813,3076.6494484507593,1.4973431930600354,1.1435084679692937,1.8366448489205978,1.5825852868758723
16,16,6,4469.064834901366,5328.700568739771,4706.419440962158,2103.2551263950745,3458.2638979857115,3228.7917599650964,1.1923524866153294,1.0531105756638748,1.6442436557437934,1.5351403257954555
17,17,11,7275.6536377372195,11923.56341525735,7630.331827501624,4595.402829060356,7582.4143095641375,6470.028144236367,1.6388305448478802,1.048748635851048,1.6499999220121795,1.407934926470706
18,18,21,20013.707076941417,23707.11511098208,16555.208812680456,10829.483907759268,15097.546523038147,12255.735305942137,1.1845439238138937,0.8271935203725633,1.39411505216983,1.1317007726620256
19,19,24,3774.9217455654416,6380.700181534229,4125.204493831335,2143.444007290597,4130.801185548217,3162.920047499594,1.6902867427728547,1.092792055537942,1.9271794231610107,1.4756252259174514
20,20,1,435.0590555052246,435.0590555052246,435.0590555052246,205.55773162841797,282.3428754692908,296.7459764480591,1.0,1.0,1.3735453939512992,1.4436137920828978
21,21,24,6806.826476476866,10412.964645351149,7257.551029863389,3842.9059983283796,6742.973561365865,5571.913593366754,1.5297825912466594,1.0662165481879322,1.754654827440219,1.4499219069606368
22,22,10,4375.544625262451,6646.989492349781,4698.0435771778075,2387.129271143057,4269.755445114924,3580.440221037836,1.5191227747908265,1.0737048709441543,1.7886569850783103,1.499893727717298
23,23,10,3563.1361127552855,6043.41793100227,4075.199215006177,2095.1111051723883,3863.2346183765912,3217.7913597545294,1.6960951644165634,1.1437113503516783,1.8439282808625652,1.5358571446690725
24,24,9,17944.383605953994,23380.60799162449,16605.403632354748,10324.088620071012,14570.576617314508,11606.862344622612,1.3029485160954062,0.9253816679913726,1.411318437250521,1.12425055341522
25,25,11,4327.572962516064,7740.834708699487,4810.513576762414,2607.3082645288055,4931.493478648095,3910.7065683603287,1.78872425161815,1.1115961806835875,1.8914117466425928,1.4999018802508473
26,26,9,3422.729838419299,5898.942920468872,3526.1313350794676,2157.4825324286253,3729.944378941007,2952.977615594864,1.723461447133423,1.0302102419827333,1.7288410556642142,1.3687144953478576
27,27,8,5415.014243940712,8711.992275919898,6048.692852510047,3338.020877861049,5549.037759818666,5005.092447641196,1.608858607466903,1.1170225192442307,1.662373592874111,1.4994191560744161
28,28,6,2229.5537947713747,3714.9843616700687,2697.9318699554324,1250.30692937926,2382.5040168387536,2072.441617369652,1.6662456722875416,1.2100770460360597,1.9055353216522566,1.6575462941715895
29,29,4,6290.025256060736,8321.065836763646,6478.104731201117,3682.632531870634,5172.040050653344,4573.987430393696,1.3228986368132476,1.0299012273375465,1.404440982338835,1.2420428567903539
30,30,7,13469.62228793643,17910.516183643747,11847.56267726552,8126.71530639113,11199.363651223855,8762.391017496586,1.3296969878423865,0.879576459087227,1.3780922831659044,1.078220497106074
31,31,29,11653.962086338928,15362.505869916162,10901.722903810243,6950.374859525711,9858.143269205357,8267.390796154968,1.3182217134483802,0.9354520654043933,1.418361378839079,1.189488475549523
32,32,5,1057.2885624973876,1488.8871170184082,1308.8747776228272,511.6622098095163,966.2355016393468,903.6483128070831,1.4082126392264713,1.2379541631767734,1.8884245955921992,1.7661032913560237
33,33,6,1933.143435272998,3342.577557354956,2259.5006021854615,1128.6814181513432,2135.189425726881,1789.5118921995163,1.7290892627855718,1.168822013388973,1.8917556286379622,1.585488928426359
34,34,9,4221.870275336413,7257.943634499681,4334.953141132311,2666.689299581555,4581.350822098102,3613.105691140224,1.7191299497996402,1.0267850166918944,1.7179919770994645,1.3549031346498357
35,35,16,5620.728982402466,9642.703951135985,5677.855570647095,3436.5068143183557,6143.3379484906445,4682.7257229861225,1.7155610920444004,1.0101635550163481,1.7876693632307548,1.362641186531434
