problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
0,0,6,24082.707529117473,28854.35059795383,23895.23009412297,13745.372422378367,17917.863758072872,16326.816812336445,1.198135656593726,0.992215267541333,1.3035560774549415,1.187804616028833
1,1,7,2732.2067300787717,4398.01679205293,2733.4714667486937,1690.6661693014712,2790.841608026747,2269.544566988945,1.609694004350151,1.0004628993318838,1.6507348752236717,1.3423966293278629
2,2,7,6128.052752819733,8764.083204675415,5998.198665411284,3640.861594967648,5480.626130058499,4344.177670839284,1.4301579242513458,0.9788098939995746,1.505310209438818,1.1931729777489344
3,3,31,9290.513322024242,13398.297656065599,8679.681397270653,5428.233201753708,8648.666390827324,6766.722607172668,1.4421482636813379,0.9342520802047029,1.5932746566660374,1.2465792009426808
4,4,6,9874.231692989324,11998.2753822886,8554.576485909247,5646.502933507923,7508.0933041075305,5691.360310614109,1.2151097680650274,0.8663536315420846,1.3296890823437655,1.0079442758879995
5,5,23,21912.623114857877,22711.836249558743,15182.714468729315,12628.502205890109,14454.902559211943,11273.61136550534,1.036472727637932,0.6928752614028514,1.1446252551209102,0.8927116756765636
6,6,5,3354.442512287817,4860.037647440235,3179.9475006239986,2023.2605711540868,3032.879560657586,2272.320064099919,1.4488361716253002,0.9479809205182032,1.4990059134734202,1.1230980806410744
7,7,11,19074.34630653708,21039.622035266726,14504.308305024824,11437.975383794752,13211.89036058867,10453.650252779325,1.1030324026389366,0.7604091942093957,1.155089945315601,0.9139423632253999
8,8,5,4712.9202662016905,6317.20023885874,4456.786054959015,2732.4431259800645,3960.9081653492285,3059.7431411147118,1.3404004061265384,0.9456527594834311,1.4495848523575552,1.119782919550156
9,9,8,3858.923998583301,7223.370684226098,3834.913390956958,2626.076274519504,4539.426181628185,3383.9622326892427,1.8718613496606729,0.9937779008772504,1.7285964713491686,1.2886001315054758
10,10,8,14399.709953612335,13800.566550986183,11069.215315352445,8412.716836163361,8673.445678319238,7862.001122514408,0.9583919811887704,0.7687109914721305,1.0309922284600255,0.9345377094731613
11,11,35,6169.269580853027,8935.530646836158,5992.072825581299,3574.0514525712438,5771.942084484113,4442.97876673371,1.4483936112256321,0.9712775146312821,1.6149577478331105,1.2431210981972132
12,12,8,3645.0947362262445,5849.030682053052,3558.345304594775,2212.2954468067596,3716.7248848158074,2947.4521565437317,1.6046306352269286,0.9762010488316468,1.6800309787648617,1.3323049418187347
13,13,16,17922.831979438684,20574.513439615668,14351.627125379846,9323.532458983138,13015.12550794388,9848.531717419624,1.1479499145681347,0.8007455039384528,1.3959436045512905,1.0563090503246604
14,14,8,3013.482528207898,5348.2483130950195,2941.2162997920777,1960.499269951816,3391.3368940326336,2570.7889871253433,1.7747732940318701,0.9760190318877353,1.7298332858425314,1.3112930091468622
15,15,79,24723.771777986974,32197.112656371064,23741.570296063,14633.248299637362,20775.94405447414,16992.430973626153,1.3022734939269276,0.9602729918904006,1.4197766366739644,1.1612207095568285
16,16,10,11064.298391833641,15806.548582190555,9748.620299355005,6987.772535897166,9894.14111366896,7641.37537936607,1.4286083059597419,0.8810879781180057,1.4159220356474644,1.0935352202881898
17,17,65,19134.043913362682,26244.59322821613,18079.643072400828,11296.062056604385,16990.456868851874,13505.592549374196,1.3716176960317124,0.9448939886551901,1.5041044200813494,1.1956018373215276
18,18,5,6057.276592405176,8851.371996945629,6057.276592405176,3592.3380831660647,5477.115691144844,4170.5622000694275,1.4612791511029537,1.0,1.5246659875391386,1.160960383882842
19,19,7,3090.468047024524,4635.32937456604,2945.8781323150515,1815.111172334155,2942.9674179800563,2356.9978107213974,1.4998794046839914,0.9532142340547147,1.6213703396445556,1.2985418450652801
20,20,7,16882.78172935706,17216.76403082539,13670.674960814582,9790.436761088022,10753.934631046022,9331.918425073227,1.0197824213344877,0.8097406683309172,1.0984121437551604,0.9531667128644178
21,21,4,6064.6400752810605,8485.5921313,5557.132148723016,3627.2421224790146,5295.73825356318,3961.9284380078316,1.399191382500427,0.916316892633645,1.4599902831807219,1.092270188817745
22,22,10,4741.209501747949,7387.006251205639,4287.020356542261,3028.5798331599094,4661.43352533388,3586.1602469853237,1.5580425729937184,0.9042039494271996,1.5391483078292545,1.18410622950086
23,23,28,6373.162211946569,9311.654516735842,5882.500125051599,3769.2758983380477,5985.393902880556,4653.615729591167,1.461072887691613,0.923011203767069,1.5879426352206378,1.2346179624694078
24,24,8,3726.7003039132446,6237.280919405201,3490.148654956946,2423.955978973724,3936.093863238771,2986.2558637857437,1.6736738698455857,0.9365251751776481,1.623830588254028,1.2319761124746544
25,25,8,5661.990088993072,8073.793308980835,5415.581708598944,3499.9862536070086,5110.565231857297,4357.8424761891365,1.4259638717270657,0.9564802522573914,1.4601672296828196,1.245102740531635
26,26,34,17209.4595873836,20312.13507006255,14731.388510641933,9911.342264669222,12996.138190300273,10724.00522406936,1.1802889548579172,0.8560052938234991,1.3112389667570423,1.081993229342611
27,27,80,22854.82528516908,31297.988546199875,22383.04922651612,13578.771639063058,20163.609313454206,16170.26687172392,1.3694258501512029,0.9793577044336844,1.484936181962738,1.1908490179778646
28,28,14,3359.74543427406,5286.666007751538,3368.7165313932005,1921.5689862952884,3380.7687039169655,2586.0687665181395,1.5735317187487534,1.0026701716825397,1.7593793030740772,1.3458110455373145
29,29,36,15002.4622188084,18130.92274832248,12767.045238763523,8928.22665114475,11647.851263598328,9649.965451347425,1.20852980556698,0.8509966599187724,1.3046097191209718,1.080837867182744
30,30,3,1367.2289848327637,2351.5108891411132,1367.2289848327637,890.67932480354,1461.7631506859925,1117.023687362671,1.7199100627820179,1.0,1.6411778178509064,1.254125537952794
31,31,8,4512.1743240990545,7054.017421537255,4344.207274911627,2778.3818997242033,4433.501906020908,3378.633011325558,1.5633299856928136,0.9627746985992245,1.5957136441397781,1.2160434142120415
32,32,20,21830.33532243383,19277.399961564573,14646.88895216406,12647.239864433173,12258.01728438981,10417.686430795595,0.8830556048195124,0.6709420050507543,0.969224701657004,0.8237122520378873
33,33,6,3544.3584546872553,4971.205032017408,3199.1391177487794,2183.6714568519155,3159.433457503343,2660.7289424049413,1.4025683619677947,0.902600331949513,1.4468446924969804,1.218465778840547
34,34,10,11200.011331024902,15436.677827501344,9759.363152164427,6764.004390647495,9654.508213123105,7080.11788462326,1.3782734116295532,0.8713708284499886,1.4273361836477034,1.0467346671762738
35,35,6,2256.348320540674,2778.8564485927973,2285.002664553125,1105.7710984998473,1803.4151217783258,1614.422613620758,1.2315724586028978,1.0126994328630894,1.630911790175148,1.459997114964369
36,36,53,17586.673150121325,24084.494693221164,16518.261456546057,10305.000047301151,15544.549961598921,12312.837436475016,1.369474174429347,0.9392487888723913,1.5084473450021956,1.1948410849061288
37,37,6,5016.511144176098,8094.544056176807,4907.609931929394,3192.362016349678,5063.49912349566,3888.9688320487217,1.6135803995121472,0.978291444169693,1.5861293605057807,1.2182104699064118
38,38,13,8188.916023604303,12112.669623879468,7366.8871674214415,4958.36372065329,7653.961406399053,5841.243309687331,1.479154211493324,0.8996168902192442,1.5436466216703044,1.1780586578101448
39,39,24,8103.027390609679,11263.185306406544,7452.8770359771115,4773.31404021767,7192.099888829239,5603.77245546321,1.389997190366043,0.9197645122875922,1.506730927031415,1.1739794214770898
40,40,6,5518.746980891346,8023.8611945234625,5142.578558418201,3310.4051974099543,5019.400023991204,3703.2730420827866,1.4539280786573603,0.9318380741542189,1.5162494391678576,1.118676663805449
41,41,7,6858.80615605578,9519.231372253955,6229.207969657465,4091.256231246431,5971.47527199885,4478.388238966465,1.387884590359684,0.9082058638087577,1.459570101327923,1.0946242390694976
42,42,5,3661.8639150446593,5311.023902367115,3579.360527553815,2148.409635627269,3317.9727947597858,2497.3244292140007,1.450360806841273,0.9774695648432259,1.5443855490766503,1.1624060829930412
43,43,9,8128.584677699196,11125.673373529979,6629.659555799781,5052.72868405016,6995.312445238325,5231.349413658076,1.3687097833960329,0.8155982644787202,1.3844623138622656,1.0353513399941232
44,44,40,16843.8264891394,19501.601768067118,13576.852701077953,9167.46671221829,12577.762364280265,9871.688471369405,1.157789281470063,0.8060432532852357,1.3719997856678088,1.0768174874540355
45,45,5,5363.705411391211,7432.623210954809,5117.512490477515,3209.82252624244,4624.205244659255,3646.6407981313155,1.3857254716431142,0.954100215796557,1.4406420314061894,1.1360879825341106
46,46,32,11733.239753105521,15259.481553124735,9720.848707741407,6335.939974277975,9903.069180296347,7369.142620982866,1.300534368530729,0.8284880316341033,1.5629992109300042,1.1630701444299323
47,47,47,12827.76116036797,19972.05123178115,12660.363034934328,7604.01650860524,12923.778177640608,9601.817465652324,1.5569397482614373,0.9869503241180676,1.699598911051173,1.262729697494243
48,48,21,10310.244053018836,13068.322041818212,8978.721878378943,5903.6859045544425,8335.041009261846,6656.579451830391,1.267508506550998,0.870854446529806,1.411836798910951,1.1275294044175221
49,49,9,11470.50314931391,14108.691615777734,10306.960714227618,6509.7875647863375,8851.719743118503,7096.893923027363,1.2299976236545145,0.8985622147572587,1.3597555457877728,1.0901882515209689
50,50,8,4045.683480626245,6239.839499577538,3812.630176216455,2541.940032416593,3955.373972393783,3226.078138599891,1.5423449534444678,0.9423945779431774,1.5560453519564168,1.269140143928925
51,51,16,9383.281387347424,13592.958255406444,8344.009331313173,5598.630377789236,8611.273847503671,6527.504710563453,1.4486358976440181,0.889242151744951,1.5381036550771645,1.1659109943137569
52,52,15,11867.516427266237,11884.507310612671,8487.94344939148,5804.901773560163,7690.833993361636,6224.995006799698,1.0014317134887125,0.715224916806518,1.3248861554197886,1.0723687065908594
53,53,17,3280.023357454993,4701.898606510547,3127.613991991736,1931.5094816830456,3028.107047347728,2450.2641024112204,1.4334954645441316,0.9535340609337877,1.5677412283315058,1.2685747212983658
