problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
0,0,4,5450.961363054785,6703.610599117896,5462.774883425269,3591.9597438241112,4685.782002429809,4174.454679782932,1.229803359927158,1.0021672361228888,1.3045196317933065,1.1621663318917594
1,1,11,8177.701212439209,10589.735488482396,7882.458422928101,5387.552114313163,7402.1101553675935,6283.638100862503,1.2949526050639035,0.9638966034780031,1.3739282698913176,1.1663252563569084
2,2,8,1933.1525015264406,2568.4604358406496,1956.6859672155274,1080.7906471828003,1795.2702576974134,1517.9648594856262,1.3286382909845769,1.0121736208966983,1.6610712374103003,1.4044948144604772
3,3,5,613.8944374734863,815.6907188530272,664.6537149942383,344.35316582943733,570.1155895102661,510.53120613098145,1.3287149533558957,1.0826840486283837,1.6556130336047263,1.4825802600108933
4,4,11,6591.427508005481,9392.072492529614,6384.400420664172,4470.105386556653,6564.943750010998,5279.678364731681,1.4248920254561956,0.9685914641267208,1.4686328805030726,1.1811082531990698
5,5,6,2260.0054884803953,3012.80884607063,2315.935289542407,1439.9329846412804,2105.8906917601703,1855.7502190454024,1.3330980218532176,1.0247476394845476,1.462492153608659,1.2887754074941977
6,6,10,1504.23225277146,2057.0699676787845,1571.0362007603517,871.5386294314717,1437.7874571562695,1225.4345902990685,1.3675215139741574,1.0444106605650885,1.649711680702182,1.4060588353937367
7,7,5,15225.770168779713,18580.436431096143,15225.770168779713,10398.867209631991,12987.672759405004,11767.304160833359,1.2203281820971619,1.0,1.2489507268036966,1.1315948096667536
8,8,11,1514.8432511849608,2136.09991512312,1589.746012473413,893.1227911409104,1493.0189518118607,1249.7278860833844,1.4101128373857768,1.0494458824237167,1.6716838564881087,1.3992789104473893
9,9,30,11937.047363404858,15939.663880240232,9867.265123492161,7288.4710079526885,11141.51159407191,8115.489857872207,1.3353104327210854,0.8266085258019515,1.5286486811726414,1.1134694573137673
10,10,5,1177.4353139616092,1689.4403030056394,1227.407915044983,742.7419986719145,1180.8665332425421,1028.1220946005726,1.4348476582729066,1.0424419078405551,1.589874458902326,1.384225069322782
11,11,14,12647.548899753587,11235.66254994292,8676.928856339282,6594.487794725706,7853.581665357303,6632.717062711716,0.8883668004764009,0.6860561619578586,1.190931261050877,1.0057971550143114
12,12,18,10583.880879672948,13376.526609942915,10271.043010255127,6872.566072638527,9350.004046857297,7974.524539522383,1.26385838635367,0.9704420455053829,1.3604822344425462,1.1603416329849543
13,13,11,1222.1263298085448,1829.4176980903565,1242.7049335530517,782.7789378212022,1278.6481007587593,1011.3518626994733,1.4969137424417887,1.0168383605218052,1.6334727966975786,1.2920018843563728
14,14,15,4479.80190896853,6838.90267127644,4317.788038038671,2876.4827841695055,4780.236244587035,3654.7929715327587,1.5266082764920939,0.9638345904077793,1.6618337752253152,1.2705770365276028
15,15,38,12979.605134644677,18814.92752257042,11404.484411593017,8299.138117748294,13151.237338067122,9582.789849488097,1.4495762642540118,0.8786464837171813,1.5846509783880172,1.1546728965739976
16,16,8,760.7800063596679,1099.801276537866,813.4818280815185,446.61662341117284,768.6775462695687,638.9972368881647,1.4456232647338023,1.069273405296268,1.721112708252003,1.4307511261171277
17,17,6,14826.795754139575,17959.5193405999,14826.795754139575,9765.955517739852,12553.641301962529,10775.105563402176,1.2112879706719966,1.0,1.285449363265975,1.103333467352908
18,18,9,4970.18077063125,6832.451275017555,4914.548586118921,3347.619875791397,4775.789407043669,4005.4743682127323,1.37468868645391,0.9888068086293643,1.426622371787252,1.1965140956351308
19,19,10,2736.2736857546383,3554.8612187619874,2779.465882263428,1768.0110954955705,2484.743548484228,2164.2263019528555,1.2991614242643241,1.0157850425319854,1.405389114816476,1.2241022171561804
20,20,10,679.812049948413,1030.0453073562012,726.1117870944091,409.63593251429836,719.8972461779846,580.6863723702778,1.5151913053532449,1.0681066732334468,1.7574074660866246,1.4175669815049952
21,21,15,21434.030097707582,27145.82309566973,21449.988546109984,14670.191775524723,18974.773597852338,16448.022804602082,1.266482456725347,1.0007445379300886,1.293423691264162,1.1211866249794658
22,22,9,11680.736449042986,15420.433541514769,11127.269560221574,7579.952030890411,10778.788912910826,8335.648623317553,1.3201593588543108,0.9526171238229796,1.4220128134036027,1.0996967512917586
23,23,11,2359.2231867497803,3105.042255697876,2408.944479935205,1311.0163780356936,2170.3096173888152,1847.5704684072987,1.3161290856824719,1.0210752816709656,1.655440506884138,1.4092657417259182
24,24,19,3799.239603630005,5612.153351638427,3881.913710884033,2415.087994476853,3922.696760411261,3005.1088102905583,1.4771780506489411,1.0217606984237153,1.624245894717795,1.2443061359101797
25,25,10,17845.768401425063,23784.51573325862,17870.61840588063,12488.513115012582,16625.271935936576,14270.996652960777,1.332781822460462,1.001392487221429,1.3312451036265598,1.1427298447407204
26,26,7,16689.679529480763,19564.321098715063,16092.205125424975,10862.172734871234,13675.38721724823,11766.890220165253,1.1722406691007166,0.9642009660520799,1.258991874926241,1.0832906553206958
27,27,8,2958.3505363104496,3854.8330014312255,2968.7436837530763,1916.7411382320765,2694.4446977492257,2334.2627408032217,1.3030345640644863,1.0035131561710022,1.4057426138588913,1.2178288941803848
28,28,4,956.4447890277099,1168.7775823111574,1013.8990264239502,516.2842453164673,816.9337345394989,762.1682403087616,1.2220021434789747,1.0600706261933284,1.5823332630240192,1.4762570177627143
29,29,5,2594.30132152439,3283.6572065835203,2613.1457436832034,1630.3570580697358,2295.224134923481,2036.5645968190613,1.2657192822359087,1.0072637754151628,1.4078045809430946,1.249152501127732
