problem_ordinal,example_idx,steps,our,weak,strong,our_power,weak_power,strong_power,speedup_vs_weak,speedup_vs_strong,power_vs_weak,power_vs_strong
0,0,8,24047.63948152809,32394.977168068875,24047.63948152809,16362.874514914904,22644.005352465745,19241.070767998695,1.3471167177532204,1.0,1.3838647562703934,1.175897960377334
1,1,7,4289.474120273852,5652.592176604468,4320.0753841685055,2863.562582543007,3951.0887946529224,3431.3530879921436,1.3177820912563496,1.007134036256337,1.3797808431845515,1.1982811582015107
2,2,9,9119.914636390651,12174.051377871214,9029.226263218652,6253.461925217847,8509.56785081998,7291.447777748108,1.3348865491891584,0.990056006356668,1.3607771107559015,1.1659857955390207
3,3,15,9762.198123077455,13160.511101853857,9115.735551098694,6442.906700004576,9199.040515706241,7491.56639984864,1.3481094048627147,0.9337789948709863,1.4277780113903726,1.162761894385855
4,4,9,21364.039644315955,27187.139687370996,21172.24896230481,14212.57522925153,19003.716523201932,15668.974654388883,1.272565495103091,0.9910227332843312,1.3371057824967247,1.1024725921689318
5,5,25,22430.257153893534,25700.279864447246,19084.67181272666,14092.284942481449,17964.23428587903,15098.233197810161,1.1457862336627775,0.8508449850479698,1.274756674251279,1.0713829062806035
6,6,6,16165.955875320593,19216.092559188575,14064.829472262732,10508.545238501805,13431.985895591215,10064.720156513822,1.188676543929234,0.8700277039438479,1.2781965144307836,0.9577653165195624
7,7,16,9963.303465218336,13990.31942594038,9254.601496530859,6700.206196784377,9779.066064593126,7801.056348055285,1.4041848142817557,0.9288687761883857,1.4595171816184376,1.1643009362606238
8,8,4,4503.190395679785,5627.541231306909,4501.147235120703,3043.429641348529,3933.6095165571296,3535.6701049804688,1.2496787248226924,0.999546285992917,1.2924923458438047,1.1617387361101703
9,9,6,16164.360973121924,20043.769341878444,16076.747450368017,10669.666029156204,14010.532006502632,11759.476176738739,1.2399976327679885,0.9945798338146747,1.3131181396134697,1.102140980289776
10,10,8,5604.5702793917235,6539.097691694239,5366.603587417847,3434.5279842350706,4570.745669471873,4099.419236898422,1.1667438118741802,0.9575405998834752,1.330822078158102,1.1935902853944673
11,11,11,12942.49208643777,16242.584530651513,12758.650684878321,8770.484891797614,11353.451621367005,10021.364092385415,1.2549812217132323,0.9857955175609423,1.2945067190053594,1.1426237221795634
12,12,9,25977.900257855596,30378.339482862917,25132.291598836367,16645.195822689686,21234.365135985172,17896.55511496032,1.169391643717496,0.9674489219442006,1.2757053363733828,1.0751784061659917
13,13,7,23596.411486989437,29053.381735850144,23596.411486989437,15519.800415628519,20308.240603162452,17113.84854745865,1.2312627177174615,1.0,1.308537484973837,1.1027106076844206
14,14,7,10325.227565331226,13736.726820090724,10267.250233171802,7087.403183448416,9601.898857693019,8236.74073433876,1.3304042679131072,0.994384885776843,1.354783777521905,1.1621662435649849
15,15,67,25365.741039981098,34669.69739852479,24296.855702812667,16757.884339396085,24233.41873708879,18855.270992279762,1.3667922156848853,0.9578610640436772,1.4460905831721538,1.1251582007851035
16,16,10,6368.10514478645,8123.670379983592,6180.617049357983,4029.4334338757135,5678.341088285331,4838.809752702713,1.2756809435903267,0.9705582600843261,1.4092157573685526,1.2008660354139415
17,17,39,14812.401185642491,18509.973352317036,12660.934333168028,8989.22551469561,12938.063939463209,10053.160541278938,1.2496267904395246,0.8547523237110363,1.4392857224809887,1.1183566954510156
18,18,5,13087.156412308368,15933.57814456411,13087.156412308368,8604.422540241456,11137.518829507912,9621.096870481968,1.2174973418655488,1.0,1.2943946880130055,1.1181571831794284
19,19,6,2319.195842826148,3089.8156933346436,2298.8971938240725,1433.9419305185959,2159.7184727081153,1834.0340283773146,1.3322789030052014,0.9912475485565981,1.5061408183572935,1.2790155510091141
20,20,11,38241.129478332005,43338.076388716116,33976.10103839856,24699.305789687493,30293.20026909977,24113.812358317926,1.1332844238628494,0.888470123709341,1.22647982607462,0.9762951462541096
21,21,9,20466.225085852257,26620.404572531832,20370.91904302694,13646.130330024846,18607.568651342146,15168.001439979924,1.3006992965661162,0.9953432524842504,1.3635784065758858,1.1115240052050936
22,22,24,20883.310952144802,27646.639234709994,18412.59348476062,13859.549910114645,19324.74994434548,15336.390742925536,1.3238628346847734,0.8816893799529222,1.394327382178721,1.1065576329959386
23,23,64,22091.065106107555,29648.175197797907,21195.19500756714,14425.614666754598,20723.406025417567,16623.596646797978,1.3420889873526751,0.9594464959368242,1.436570052933475,1.1523666083434814
24,24,8,25869.282698913536,31374.39472015361,25544.247032257277,16860.501816333577,21930.618223182577,18247.007040805503,1.2128049735786173,0.9874354588629584,1.300709697853556,1.0822339239706824
25,25,8,16367.453157671844,20035.110472177344,16356.45638908664,10810.930056190253,14004.458586882365,12056.69336181879,1.2240823467874948,0.9993281319653541,1.2953981307892677,1.1152318347407328
26,26,15,9389.369146731915,12811.348678489674,9286.811051834455,6144.972772134943,8954.97599625148,7167.428795252349,1.3644525503557203,0.9890772113339311,1.457284894224236,1.1663890241717336
27,27,66,22765.98927174964,31216.532479285426,22072.302136559967,15018.521010757815,21819.666889214088,17424.418226471687,1.3711915659216303,0.9695296731053779,1.452850575205414,1.1601953490620363
28,28,27,17352.459415759913,21298.468413007664,14894.683365197998,10880.730997443596,14887.347271618752,11886.522642799837,1.227403441938835,0.8583615156979013,1.368230431863126,1.0924378744031582
29,29,55,19246.07883981255,27055.320964081264,19059.567742794778,12631.813177187507,18911.094874379178,15014.66241583621,1.4057575669966844,0.9903091378472401,1.4971005831951167,1.1886387334283903
30,30,9,8070.941169883374,10728.275752990601,8042.143012296704,5543.691680362089,7498.970709212429,6437.275073888505,1.3292471754128306,0.996431871205538,1.3527034224822962,1.1611892300381417
31,31,6,20574.10681510996,24086.615061491622,20154.2674409509,13295.385101858426,16836.481165625846,14202.789399882968,1.170724701584713,0.9795937982663373,1.266340240364489,1.0682495686339846
32,32,55,18662.299151873867,24114.26095625813,16699.35115084643,11736.762664521288,16855.293918749252,13198.280615288419,1.2921377350141146,0.8948174613935315,1.4361109958967324,1.1245247938075045
33,33,21,16841.214374277024,22051.000672009326,15780.102990542922,10911.496778149529,15413.430001585702,12263.66962478408,1.3093474248323589,0.9369931787487472,1.412586221209484,1.1239218481319906
34,34,13,8727.101279734095,12115.610816289845,8461.330426181848,5858.302829823464,8468.676101525798,6966.814104927937,1.3882743453916917,0.9695464914370348,1.4455852398775697,1.1892205485625051
35,35,6,2241.3532224266605,2677.915505828515,2187.162832247217,1218.46408177301,1871.8002252157326,1667.2686095237732,1.194776208869568,0.9758224675891233,1.5361964732616826,1.3683362804570318
36,36,75,22353.398887128325,30075.139372541897,20794.654268207494,14481.629592597228,21021.739130896374,16619.331081506443,1.3454392114775866,0.9302681159678854,1.451614198283482,1.1476147055992907
