row_type,config,dataset,method,avg_latency_s,throughput_tokens_s,avg_energy_kj_per_problem
dataset,Config1,math500,weak_baseline,10.133585644,69.240052301,7.083250315
dataset,Config1,math500,strong_baseline,7.628222051,91.980804348,5.919062621
dataset,Config1,math500,ours_u280,9.203294690,76.239001753,5.345001460
dataset,Config1,math500,ours_v80,7.908871426,88.716829771,5.167467456
dataset,Config1,gsm8k,weak_baseline,4.030796062,77.707641228,2.817452846
dataset,Config1,gsm8k,strong_baseline,3.221003988,97.244106317,2.509238855
dataset,Config1,gsm8k,ours_u280,3.831726319,81.744787649,2.167408647
dataset,Config1,gsm8k,ours_v80,3.188867616,98.224100838,2.055753621
dataset,Config1,gaokao2023en,weak_baseline,10.343981079,64.191166119,7.230327022
dataset,Config1,gaokao2023en,strong_baseline,7.918853588,83.849537105,6.134466513
dataset,Config1,gaokao2023en,ours_u280,9.300573603,71.392608254,5.461909576
dataset,Config1,gaokao2023en,ours_v80,8.121225136,81.760103520,5.336010656
dataset,Config1,olympiadbench,weak_baseline,17.418181231,58.057173532,12.175151422
dataset,Config1,olympiadbench,strong_baseline,13.253108743,76.302880327,10.197244424
dataset,Config1,olympiadbench,ours_u280,15.602477230,64.813449521,9.211124515
dataset,Config1,olympiadbench,ours_v80,13.875546240,72.880040387,9.126817804
mean_of_datasets,Config1,average,weak_baseline,10.481636004,67.299008295,7.326545401
mean_of_datasets,Config1,average,strong_baseline,8.005297093,87.344332024,6.190003103
mean_of_datasets,Config1,average,ours_u280,9.484517961,73.547461794,5.546361050
mean_of_datasets,Config1,average,ours_v80,8.273627604,85.395268629,5.421512384
dataset,Config2,math500,weak_baseline,8.681668866,84.144196179,5.518982536
dataset,Config2,math500,strong_baseline,6.265666529,116.589678825,4.602231227
dataset,Config2,math500,ours_u280,8.013148598,91.164170898,4.058732138
dataset,Config2,math500,ours_v80,6.339921596,115.224145458,3.681080815
dataset,Config2,gsm8k,weak_baseline,3.734618489,85.164891275,2.381442241
dataset,Config2,gsm8k,strong_baseline,2.772939545,114.700797634,2.029618626
dataset,Config2,gsm8k,ours_u280,3.511167200,90.584799710,1.745065810
dataset,Config2,gsm8k,ours_v80,2.626699856,121.086684821,1.513917975
dataset,Config2,gaokao2023en,weak_baseline,9.076530998,79.418178446,5.775555327
dataset,Config2,gaokao2023en,strong_baseline,6.676664538,107.964321764,4.935430851
dataset,Config2,gaokao2023en,ours_u280,8.377584695,86.044078895,4.276076036
dataset,Config2,gaokao2023en,ours_v80,6.745370654,106.864632866,3.939492639
dataset,Config2,olympiadbench,weak_baseline,12.492990990,83.284862517,7.941912534
dataset,Config2,olympiadbench,strong_baseline,8.935440663,116.443841587,6.577415487
dataset,Config2,olympiadbench,ours_u280,12.404665090,83.877882190,6.352516485
dataset,Config2,olympiadbench,ours_v80,9.946033299,104.612261568,5.821840232
mean_of_datasets,Config2,average,weak_baseline,8.496452336,83.003032104,5.404473159
mean_of_datasets,Config2,average,strong_baseline,6.162677818,113.924659952,4.536174048
mean_of_datasets,Config2,average,ours_u280,8.076641396,87.917732923,4.108097617
mean_of_datasets,Config2,average,ours_v80,6.414506351,111.946931178,3.739082915
