row_type,config,dataset,method,n_problems,total_latency_s,avg_latency_s,goodput_tokens,throughput_tokens_s,n_energy_problems,total_energy_j,avg_energy_j_per_problem,avg_energy_kj_per_problem
dataset,Config1,math500,weak_baseline,500,5066.792822,10.133586,350825,69.240052,500,3541625.157628,7083.250315,7.083250
dataset,Config1,math500,strong_baseline,500,3814.111026,7.628222,350825,91.980804,500,2959531.310346,5919.062621,5.919063
dataset,Config1,math500,ours,500,4601.647345,9.203295,350825,76.239002,500,2672500.730166,5345.001460,5.345001
dataset,Config1,gsm8k,weak_baseline,1319,5316.620006,4.030796,413142,77.707641,1319,3716220.304490,2817.452846,2.817453
dataset,Config1,gsm8k,strong_baseline,1319,4248.504261,3.221004,413142,97.244106,1319,3309686.049618,2509.238855,2.509239
dataset,Config1,gsm8k,ours,1319,5054.047015,3.831726,413142,81.744788,1319,2858812.005346,2167.408647,2.167409
dataset,Config1,gaokao2023en,weak_baseline,385,3982.432716,10.343981,255637,64.191166,385,2783675.903357,7230.327022,7.230327
dataset,Config1,gaokao2023en,strong_baseline,385,3048.758632,7.918854,255637,83.849537,385,2361769.607460,6134.466513,6.134467
dataset,Config1,gaokao2023en,ours,385,3580.720837,9.300574,255637,71.392608,385,2102835.186755,5461.909576,5.461910
dataset,Config1,olympiadbench,weak_baseline,675,11757.272331,17.418181,682594,58.057174,675,8218227.209896,12175.151422,12.175151
dataset,Config1,olympiadbench,strong_baseline,675,8945.848401,13.253109,682594,76.302880,675,6883139.986316,10197.244424,10.197244
dataset,Config1,olympiadbench,ours,675,10531.672130,15.602477,682594,64.813450,675,6217509.047695,9211.124515,9.211125
pooled_total,Config1,all,weak_baseline,2879,26123.117875,9.073678,1702198,65.160599,2879,18259748.575370,6342.392697,6.342393
pooled_total,Config1,all,strong_baseline,2879,20057.222319,6.966732,1702198,84.867085,2879,15514126.953740,5388.720720,5.388721
pooled_total,Config1,all,ours,2879,23768.087328,8.255675,1702198,71.616953,2879,13851656.969962,4811.273696,4.811274
dataset,Config2,math500,weak_baseline,498,4323.471095,8.681669,363795,84.144196,498,2748453.302883,5518.982536,5.518983
dataset,Config2,math500,strong_baseline,498,3120.301931,6.265667,363795,116.589679,498,2291911.151289,4602.231227,4.602231
dataset,Config2,math500,ours,498,3990.548002,8.013149,363795,91.164171,498,2021248.604790,4058.732138,4.058732
dataset,Config2,gsm8k,weak_baseline,1319,4925.961787,3.734618,419519,85.164891,1319,3141122.315287,2381.442241,2.381442
dataset,Config2,gsm8k,strong_baseline,1319,3657.507259,2.772940,419519,114.700798,1319,2677066.968276,2029.618626,2.029619
dataset,Config2,gsm8k,ours,1319,4631.229537,3.511167,419519,90.584800,1319,2301741.803903,1745.065810,1.745066
dataset,Config2,gaokao2023en,weak_baseline,385,3494.464434,9.076531,277524,79.418178,385,2223588.800723,5775.555327,5.775555
dataset,Config2,gaokao2023en,strong_baseline,385,2570.515847,6.676665,277524,107.964322,385,1900140.877526,4935.430851,4.935431
dataset,Config2,gaokao2023en,ours,385,3225.370108,8.377585,277524,86.044079,385,1646289.273844,4276.076036,4.276076
dataset,Config2,olympiadbench,weak_baseline,675,8432.768918,12.492991,702322,83.284863,675,5360790.960453,7941.912534,7.941913
dataset,Config2,olympiadbench,strong_baseline,675,6031.422447,8.935441,702322,116.443842,675,4439755.453693,6577.415487,6.577415
dataset,Config2,olympiadbench,ours,675,8373.148936,12.404665,702322,83.877882,675,4287948.627481,6352.516485,6.352516
pooled_total,Config2,all,weak_baseline,2877,21176.666234,7.360676,1763160,83.259564,2877,13473955.379345,4683.335203,4.683335
pooled_total,Config2,all,strong_baseline,2877,15379.747485,5.345759,1763160,114.641674,2877,11308874.450784,3930.787088,3.930787
pooled_total,Config2,all,ours,2877,20220.296582,7.028257,1763160,87.197534,2877,10257228.310018,3565.251411,3.565251
